city,version,w,lambda,jaccard
Austin_Texas,C-3,25,8,1.000000
Austin_Texas,C-6,25,8,1.000000
Austin_Texas,C-9,25,8,1.000000
Austin_Texas,C-12,25,8,0.600000
Austin_Texas,C-15,25,8,0.600000
Austin_Texas,C-18,25,8,0.600000
Austin_Texas,C-21,25,8,0.600000
Austin_Texas,C-24,25,8,0.600000
Austin_Texas,C-27,25,8,0.600000
Austin_Texas,C-30,25,8,0.600000
Austin_Texas,C-33,25,8,0.600000
Austin_Texas,C-36,25,8,0.600000
Austin_Texas,C-39,25,8,0.600000
Austin_Texas,C-42,25,8,0.600000
Austin_Texas,C-45,25,8,0.600000
Austin_Texas,C-48,25,8,0.600000
Austin_Texas,C-51,25,8,0.600000
Austin_Texas,C-54,25,8,0.600000
Austin_Texas,C-57,25,8,0.600000
Austin_Texas,C-60,25,8,0.600000
Austin_Texas,C-63,25,8,0.600000
Austin_Texas,C-66,25,8,0.600000
Austin_Texas,C-69,25,8,0.600000
Austin_Texas,C-72,25,8,0.600000
Austin_Texas,C-75,25,8,0.600000
Austin_Texas,C-78,25,8,0.600000
Austin_Texas,C-81,25,8,0.600000
Austin_Texas,C-84,25,8,0.600000
Austin_Texas,C-87,25,8,0.600000
Austin_Texas,C-90,25,8,0.454545
Austin_Texas,C-93,25,8,0.454545
Austin_Texas,C-96,25,8,0.454545
Austin_Texas,C-99,25,8,0.777778
Austin_Texas,C-102,25,8,0.454545
Austin_Texas,C-105,25,8,0.454545
Austin_Texas,C-108,25,8,0.454545
Austin_Texas,C-111,25,8,0.454545
Austin_Texas,C-114,25,8,0.454545
Austin_Texas,C-117,25,8,0.454545
Austin_Texas,C-120,25,8,0.454545
Austin_Texas,C-123,25,8,0.454545
Austin_Texas,C-126,25,8,0.454545
Austin_Texas,C-129,25,8,0.454545
Austin_Texas,C-132,25,8,0.454545
Austin_Texas,C-135,25,8,0.454545
Austin_Texas,C-138,25,8,0.454545
Austin_Texas,C-141,25,8,0.454545
Austin_Texas,C-144,25,8,0.600000
Austin_Texas,C-147,25,8,0.600000
Austin_Texas,C-3,25,16,1.000000
Austin_Texas,C-6,25,16,1.000000
Austin_Texas,C-9,25,16,1.000000
Austin_Texas,C-12,25,16,0.529412
Austin_Texas,C-15,25,16,0.687500
Austin_Texas,C-18,25,16,0.687500
Austin_Texas,C-21,25,16,0.687500
