city,version,w,lambda,jaccard
Baltimore_MD,C-3,25,8,1.000000
Baltimore_MD,C-6,25,8,1.000000
Baltimore_MD,C-9,25,8,1.000000
Baltimore_MD,C-12,25,8,1.000000
Baltimore_MD,C-15,25,8,1.000000
Baltimore_MD,C-18,25,8,1.000000
Baltimore_MD,C-21,25,8,1.000000
Baltimore_MD,C-24,25,8,1.000000
Baltimore_MD,C-27,25,8,1.000000
Baltimore_MD,C-30,25,8,1.000000
Baltimore_MD,C-33,25,8,1.000000
Baltimore_MD,C-36,25,8,1.000000
Baltimore_MD,C-39,25,8,1.000000
Baltimore_MD,C-42,25,8,1.000000
Baltimore_MD,C-45,25,8,1.000000
Baltimore_MD,C-48,25,8,1.000000
Baltimore_MD,C-51,25,8,1.000000
Baltimore_MD,C-54,25,8,1.000000
Baltimore_MD,C-57,25,8,1.000000
Baltimore_MD,C-60,25,8,1.000000
Baltimore_MD,C-63,25,8,1.000000
Baltimore_MD,C-66,25,8,0.777778
Baltimore_MD,C-69,25,8,0.777778
Baltimore_MD,C-72,25,8,0.777778
Baltimore_MD,C-75,25,8,0.777778
Baltimore_MD,C-78,25,8,0.777778
Baltimore_MD,C-81,25,8,0.777778
Baltimore_MD,C-84,25,8,0.777778
Baltimore_MD,C-87,25,8,0.777778
Baltimore_MD,C-90,25,8,0.777778
Baltimore_MD,C-93,25,8,0.777778
Baltimore_MD,C-96,25,8,0.777778
Baltimore_MD,C-99,25,8,0.777778
Baltimore_MD,C-102,25,8,0.777778
Baltimore_MD,C-105,25,8,0.777778
Baltimore_MD,C-108,25,8,0.777778
Baltimore_MD,C-111,25,8,0.777778
Baltimore_MD,C-114,25,8,0.777778
Baltimore_MD,C-117,25,8,0.777778
Baltimore_MD,C-120,25,8,0.777778
Baltimore_MD,C-123,25,8,0.777778
Baltimore_MD,C-126,25,8,0.777778
Baltimore_MD,C-129,25,8,0.777778
Baltimore_MD,C-132,25,8,0.777778
Baltimore_MD,C-135,25,8,0.777778
Baltimore_MD,C-138,25,8,0.777778
Baltimore_MD,C-141,25,8,0.777778
Baltimore_MD,C-144,25,8,0.777778
Baltimore_MD,C-147,25,8,0.777778
Baltimore_MD,C-3,25,16,1.000000
Baltimore_MD,C-6,25,16,1.000000
Baltimore_MD,C-9,25,16,1.000000
Baltimore_MD,C-12,25,16,1.000000
Baltimore_MD,C-15,25,16,0.882353
Baltimore_MD,C-18,25,16,0.882353
Baltimore_MD,C-21,25,16,0.882353
Baltimore_MD,C-24,25,16,0.882353
Baltimore_MD,C-27,25,16,0.882353
Baltimore_MD,C-30,25,16,0.882353
Baltimore_MD,C-33,25,16,0.882353
Baltimore_MD,C-36,25,16,0.882353
Baltimore_MD,C-39,25,16,0.882353
Baltimore_MD,C-42,25,16,0.882353
Baltimore_MD,C-45,25,16,0.882353
Baltimore_MD,C-48,25,16,0.882353
Baltimore_MD,C-51,25,16,0.882353
Baltimore_MD,C-54,25,16,0.882353
Baltimore_MD,C-57,25,16,0.882353
