city,version,w,lambda,jaccard
Boston_MA,C-3,25,8,1.000000
Boston_MA,C-6,25,8,1.000000
Boston_MA,C-9,25,8,1.000000
Boston_MA,C-12,25,8,0.454545
Boston_MA,C-15,25,8,1.000000
Boston_MA,C-18,25,8,1.000000
Boston_MA,C-21,25,8,1.000000
Boston_MA,C-24,25,8,0.454545
Boston_MA,C-27,25,8,0.454545
Boston_MA,C-30,25,8,0.454545
Boston_MA,C-33,25,8,0.333333
Boston_MA,C-36,25,8,0.333333
Boston_MA,C-39,25,8,0.230769
Boston_MA,C-42,25,8,0.230769
Boston_MA,C-45,25,8,0.230769
Boston_MA,C-48,25,8,0.230769
Boston_MA,C-51,25,8,0.230769
Boston_MA,C-54,25,8,0.230769
Boston_MA,C-57,25,8,0.333333
Boston_MA,C-60,25,8,0.230769
Boston_MA,C-63,25,8,0.230769
Boston_MA,C-66,25,8,0.230769
Boston_MA,C-69,25,8,0.230769
Boston_MA,C-72,25,8,0.230769
Boston_MA,C-75,25,8,0.230769
Boston_MA,C-78,25,8,0.230769
Boston_MA,C-81,25,8,0.230769
Boston_MA,C-84,25,8,0.230769
Boston_MA,C-87,25,8,0.230769
Boston_MA,C-90,25,8,0.230769
Boston_MA,C-93,25,8,0.230769
Boston_MA,C-96,25,8,0.230769
Boston_MA,C-99,25,8,0.230769
Boston_MA,C-102,25,8,0.230769
Boston_MA,C-105,25,8,0.230769
Boston_MA,C-108,25,8,0.230769
Boston_MA,C-111,25,8,0.230769
Boston_MA,C-114,25,8,0.230769
Boston_MA,C-117,25,8,0.142857
Boston_MA,C-120,25,8,0.142857
Boston_MA,C-123,25,8,0.142857
Boston_MA,C-126,25,8,0.142857
Boston_MA,C-129,25,8,0.142857
Boston_MA,C-132,25,8,0.142857
Boston_MA,C-135,25,8,0.142857
Boston_MA,C-138,25,8,0.142857
Boston_MA,C-141,25,8,0.142857
Boston_MA,C-144,25,8,0.142857
Boston_MA,C-147,25,8,0.142857
Boston_MA,C-3,25,16,1.000000
Boston_MA,C-6,25,16,1.000000
Boston_MA,C-9,25,16,1.000000
Boston_MA,C-12,25,16,0.454545
Boston_MA,C-15,25,16,0.882353
Boston_MA,C-18,25,16,0.882353
Boston_MA,C-21,25,16,0.882353
Boston_MA,C-24,25,16,0.523810
Boston_MA,C-27,25,16,0.454545
Boston_MA,C-30,25,16,0.454545
Boston_MA,C-33,25,16,0.391304
Boston_MA,C-36,25,16,0.391304
Boston_MA,C-39,25,16,0.333333
Boston_MA,C-42,25,16,0.333333
Boston_MA,C-45,25,16,0.333333
Boston_MA,C-48,25,16,0.333333
Boston_MA,C-51,25,16,0.333333
Boston_MA,C-54,25,16,0.333333
Boston_MA,C-57,25,16,0.333333
Boston_MA,C-60,25,16,0.333333
Boston_MA,C-63,25,16,0.333333
Boston_MA,C-66,25,16,0.333333
Boston_MA,C-69,25,16,0.333333
Boston_MA,C-72,25,16,0.333333
Boston_MA,C-75,25,16,0.333333
Boston_MA,C-78,25,16,0.333333
Boston_MA,C-81,25,16,0.333333
Boston_MA,C-84,25,16,0.333333
Boston_MA,C-87,25,16,0.333333
Boston_MA,C-90,25,16,0.333333
Boston_MA,C-93,25,16,0.333333
Boston_MA,C-96,25,16,0.280000
Boston_MA,C-99,25,16,0.280000
Boston_MA,C-102,25,16,0.280000
Boston_MA,C-105,25,16,0.280000
Boston_MA,C-108,25,16,0.333333
Boston_MA,C-111,25,16,0.185185
Boston_MA,C-114,25,16,0.185185
Boston_MA,C-117,25,16,0.142857
Boston_MA,C-120,25,16,0.142857
Boston_MA,C-123,25,16,0.142857
Boston_MA,C-126,25,16,0.142857
Boston_MA,C-129,25,16,0.142857
Boston_MA,C-132,25,16,0.142857
Boston_MA,C-135,25,16,0.142857
Boston_MA,C-138,25,16,0.142857
Boston_MA,C-141,25,16,0.142857
Boston_MA,C-144,25,16,0.142857
Boston_MA,C-147,25,16,0.142857
Boston_MA,C-3,25,32,1.000000
Boston_MA,C-6,25,32,1.000000
Boston_MA,C-9,25,32,0.939394
Boston_MA,C-12,25,32,0.391304
Boston_MA,C-15,25,32,0.939394
Boston_MA,C-18,25,32,0.939394
Boston_MA,C-21,25,32,0.939394
Boston_MA,C-24,25,32,0.422222
Boston_MA,C-27,25,32,0.391304
Boston_MA,C-30,25,32,0.391304
Boston_MA,C-33,25,32,0.361702
Boston_MA,C-36,25,32,0.361702
Boston_MA,C-39,25,32,0.306122
Boston_MA,C-42,25,32,0.306122
Boston_MA,C-45,25,32,0.306122
Boston_MA,C-48,25,32,0.306122
Boston_MA,C-51,25,32,0.306122
Boston_MA,C-54,25,32,0.306122
Boston_MA,C-57,25,32,0.333333
Boston_MA,C-60,25,32,0.306122
Boston_MA,C-63,25,32,0.306122
Boston_MA,C-66,25,32,0.306122
Boston_MA,C-69,25,32,0.306122
Boston_MA,C-72,25,32,0.306122
Boston_MA,C-75,25,32,0.306122
Boston_MA,C-78,25,32,0.306122
Boston_MA,C-81,25,32,0.306122
Boston_MA,C-84,25,32,0.306122
Boston_MA,C-87,25,32,0.306122
Boston_MA,C-90,25,32,0.306122
Boston_MA,C-93,25,32,0.306122
Boston_MA,C-96,25,32,0.306122
Boston_MA,C-99,25,32,0.306122
Boston_MA,C-102,25,32,0.306122
Boston_MA,C-105,25,32,0.306122
Boston_MA,C-108,25,32,0.333333
Boston_MA,C-111,25,32,0.185185
Boston_MA,C-114,25,32,0.185185
Boston_MA,C-117,25,32,0.163636
Boston_MA,C-120,25,32,0.163636
Boston_MA,C-123,25,32,0.163636
Boston_MA,C-126,25,32,0.163636
Boston_MA,C-129,25,32,0.163636
Boston_MA,C-132,25,32,0.142857
Boston_MA,C-135,25,32,0.163636
Boston_MA,C-138,25,32,0.163636
Boston_MA,C-141,25,32,0.163636
Boston_MA,C-144,25,32,0.163636
Boston_MA,C-147,25,32,0.163636
Boston_MA,C-3,25,64,1.000000
Boston_MA,C-6,25,64,1.000000
Boston_MA,C-9,25,64,0.969231
Boston_MA,C-12,25,64,0.438202
Boston_MA,C-15,25,64,0.939394
Boston_MA,C-18,25,64,0.939394
Boston_MA,C-21,25,64,0.939394
Boston_MA,C-24,25,64,0.454545
Boston_MA,C-27,25,64,0.376344
Boston_MA,C-30,25,64,0.376344
Boston_MA,C-33,25,64,0.319588
Boston_MA,C-36,25,64,0.319588
Boston_MA,C-39,25,64,0.292929
Boston_MA,C-42,25,64,0.292929
Boston_MA,C-45,25,64,0.292929
Boston_MA,C-48,25,64,0.292929
Boston_MA,C-51,25,64,0.292929
Boston_MA,C-54,25,64,0.292929
Boston_MA,C-57,25,64,0.306122
Boston_MA,C-60,25,64,0.292929
Boston_MA,C-63,25,64,0.292929
Boston_MA,C-66,25,64,0.292929
Boston_MA,C-69,25,64,0.292929
Boston_MA,C-72,25,64,0.292929
Boston_MA,C-75,25,64,0.292929
Boston_MA,C-78,25,64,0.292929
Boston_MA,C-81,25,64,0.292929
Boston_MA,C-84,25,64,0.292929
Boston_MA,C-87,25,64,0.292929
Boston_MA,C-90,25,64,0.292929
Boston_MA,C-93,25,64,0.292929
Boston_MA,C-96,25,64,0.280000
Boston_MA,C-99,25,64,0.280000
Boston_MA,C-102,25,64,0.280000
Boston_MA,C-105,25,64,0.280000
Boston_MA,C-108,25,64,0.280000
Boston_MA,C-111,25,64,0.207547
Boston_MA,C-114,25,64,0.207547
Boston_MA,C-117,25,64,0.207547
Boston_MA,C-120,25,64,0.207547
Boston_MA,C-123,25,64,0.207547
Boston_MA,C-126,25,64,0.207547
Boston_MA,C-129,25,64,0.207547
Boston_MA,C-132,25,64,0.207547
Boston_MA,C-135,25,64,0.207547
Boston_MA,C-138,25,64,0.207547
Boston_MA,C-141,25,64,0.207547
Boston_MA,C-144,25,64,0.207547
Boston_MA,C-147,25,64,0.207547
Boston_MA,C-3,25,inf,1.000000
Boston_MA,C-6,25,inf,0.994277
Boston_MA,C-9,25,inf,0.988586
Boston_MA,C-12,25,inf,0.338763
Boston_MA,C-15,25,inf,0.980200
Boston_MA,C-18,25,inf,0.975928
Boston_MA,C-21,25,inf,0.975928
Boston_MA,C-24,25,inf,0.334146
Boston_MA,C-27,25,inf,0.309319
Boston_MA,C-30,25,inf,0.309319
Boston_MA,C-33,25,inf,0.286123
Boston_MA,C-36,25,inf,0.286123
Boston_MA,C-39,25,inf,0.274225
Boston_MA,C-42,25,inf,0.274225
Boston_MA,C-45,25,inf,0.271674
Boston_MA,C-48,25,inf,0.271674
Boston_MA,C-51,25,inf,0.260988
Boston_MA,C-54,25,inf,0.260988
Boston_MA,C-57,25,inf,0.260302
Boston_MA,C-60,25,inf,0.257628
Boston_MA,C-63,25,inf,0.255451
Boston_MA,C-66,25,inf,0.255631
Boston_MA,C-69,25,inf,0.255631
Boston_MA,C-72,25,inf,0.252728
Boston_MA,C-75,25,inf,0.252728
Boston_MA,C-78,25,inf,0.252728
Boston_MA,C-81,25,inf,0.252728
Boston_MA,C-84,25,inf,0.248152
