city,version,w,lambda,jaccard
Chicago,C-3,25,8,0.600000
Chicago,C-6,25,8,0.600000
Chicago,C-9,25,8,0.600000
Chicago,C-12,25,8,0.600000
Chicago,C-15,25,8,0.600000
Chicago,C-18,25,8,0.600000
Chicago,C-21,25,8,0.600000
Chicago,C-24,25,8,0.600000
Chicago,C-27,25,8,0.600000
Chicago,C-30,25,8,0.600000
Chicago,C-33,25,8,0.600000
Chicago,C-36,25,8,0.600000
Chicago,C-39,25,8,0.600000
Chicago,C-42,25,8,0.600000
Chicago,C-45,25,8,0.500000
Chicago,C-48,25,8,0.500000
Chicago,C-51,25,8,0.500000
Chicago,C-54,25,8,0.454545
Chicago,C-57,25,8,0.454545
Chicago,C-60,25,8,0.454545
Chicago,C-63,25,8,0.454545
Chicago,C-66,25,8,0.500000
Chicago,C-69,25,8,0.454545
Chicago,C-72,25,8,0.454545
Chicago,C-75,25,8,0.454545
Chicago,C-78,25,8,0.454545
Chicago,C-81,25,8,0.500000
Chicago,C-84,25,8,0.555556
Chicago,C-87,25,8,0.555556
Chicago,C-90,25,8,0.555556
Chicago,C-93,25,8,0.555556
Chicago,C-96,25,8,0.454545
Chicago,C-99,25,8,0.454545
Chicago,C-102,25,8,0.454545
Chicago,C-105,25,8,0.454545
Chicago,C-108,25,8,0.454545
Chicago,C-111,25,8,0.454545
Chicago,C-114,25,8,0.454545
Chicago,C-117,25,8,0.454545
Chicago,C-120,25,8,0.454545
Chicago,C-123,25,8,0.454545
Chicago,C-126,25,8,0.454545
Chicago,C-129,25,8,0.454545
Chicago,C-132,25,8,0.454545
Chicago,C-135,25,8,0.454545
Chicago,C-138,25,8,0.454545
Chicago,C-141,25,8,0.454545
Chicago,C-144,25,8,0.500000
Chicago,C-147,25,8,0.500000
Chicago,C-3,25,16,0.368421
Chicago,C-6,25,16,0.368421
Chicago,C-9,25,16,0.368421
Chicago,C-12,25,16,0.368421
Chicago,C-15,25,16,0.368421
Chicago,C-18,25,16,0.368421
Chicago,C-21,25,16,0.368421
Chicago,C-24,25,16,0.368421
Chicago,C-27,25,16,0.368421
Chicago,C-30,25,16,0.368421
Chicago,C-33,25,16,0.368421
Chicago,C-36,25,16,0.368421
Chicago,C-39,25,16,0.368421
Chicago,C-42,25,16,0.368421
Chicago,C-45,25,16,0.529412
Chicago,C-48,25,16,0.529412
Chicago,C-51,25,16,0.529412
Chicago,C-54,25,16,0.529412
Chicago,C-57,25,16,0.529412
Chicago,C-60,25,16,0.529412
Chicago,C-63,25,16,0.529412
Chicago,C-66,25,16,0.529412
Chicago,C-69,25,16,0.529412
Chicago,C-72,25,16,0.529412
Chicago,C-75,25,16,0.529412
Chicago,C-78,25,16,0.529412
Chicago,C-81,25,16,0.529412
Chicago,C-84,25,16,0.529412
Chicago,C-87,25,16,0.529412
Chicago,C-90,25,16,0.529412
Chicago,C-93,25,16,0.529412
Chicago,C-96,25,16,0.444444
Chicago,C-99,25,16,0.444444
Chicago,C-102,25,16,0.444444
Chicago,C-105,25,16,0.444444
Chicago,C-108,25,16,0.444444
Chicago,C-111,25,16,0.444444
Chicago,C-114,25,16,0.444444
Chicago,C-117,25,16,0.444444
Chicago,C-120,25,16,0.444444
Chicago,C-123,25,16,0.444444
Chicago,C-126,25,16,0.444444
Chicago,C-129,25,16,0.444444
Chicago,C-132,25,16,0.444444
Chicago,C-135,25,16,0.444444
Chicago,C-138,25,16,0.444444
Chicago,C-141,25,16,0.529412
Chicago,C-144,25,16,0.529412
Chicago,C-147,25,16,0.529412
Chicago,C-3,25,32,0.526316
Chicago,C-6,25,32,0.526316
Chicago,C-9,25,32,0.526316
Chicago,C-12,25,32,0.526316
Chicago,C-15,25,32,0.526316
Chicago,C-18,25,32,0.526316
Chicago,C-21,25,32,0.526316
Chicago,C-24,25,32,0.526316
Chicago,C-27,25,32,0.526316
Chicago,C-30,25,32,0.526316
Chicago,C-33,25,32,0.526316
Chicago,C-36,25,32,0.526316
Chicago,C-39,25,32,0.526316
Chicago,C-42,25,32,0.526316
Chicago,C-45,25,32,0.567568
Chicago,C-48,25,32,0.567568
Chicago,C-51,25,32,0.567568
Chicago,C-54,25,32,0.487179
Chicago,C-57,25,32,0.487179
Chicago,C-60,25,32,0.487179
Chicago,C-63,25,32,0.487179
Chicago,C-66,25,32,0.526316
Chicago,C-69,25,32,0.450000
Chicago,C-72,25,32,0.450000
Chicago,C-75,25,32,0.450000
Chicago,C-78,25,32,0.450000
Chicago,C-81,25,32,0.450000
Chicago,C-84,25,32,0.526316
Chicago,C-87,25,32,0.526316
Chicago,C-90,25,32,0.526316
Chicago,C-93,25,32,0.526316
Chicago,C-96,25,32,0.526316
Chicago,C-99,25,32,0.526316
Chicago,C-102,25,32,0.526316
Chicago,C-105,25,32,0.526316
Chicago,C-108,25,32,0.526316
