city,version,w,lambda,jaccard
Columbus_OH,C-3,25,8,0.600000
Columbus_OH,C-6,25,8,0.777778
Columbus_OH,C-9,25,8,0.600000
Columbus_OH,C-12,25,8,0.454545
Columbus_OH,C-15,25,8,0.454545
Columbus_OH,C-18,25,8,0.454545
Columbus_OH,C-21,25,8,0.454545
Columbus_OH,C-24,25,8,0.333333
Columbus_OH,C-27,25,8,0.454545
Columbus_OH,C-30,25,8,0.454545
Columbus_OH,C-33,25,8,0.454545
Columbus_OH,C-36,25,8,0.454545
Columbus_OH,C-39,25,8,0.454545
Columbus_OH,C-42,25,8,0.454545
Columbus_OH,C-45,25,8,0.454545
Columbus_OH,C-48,25,8,0.454545
Columbus_OH,C-51,25,8,0.454545
Columbus_OH,C-54,25,8,0.454545
Columbus_OH,C-57,25,8,0.454545
Columbus_OH,C-60,25,8,0.454545
Columbus_OH,C-63,25,8,0.454545
Columbus_OH,C-66,25,8,0.454545
Columbus_OH,C-69,25,8,0.454545
Columbus_OH,C-72,25,8,0.333333
Columbus_OH,C-75,25,8,0.333333
Columbus_OH,C-78,25,8,0.333333
Columbus_OH,C-81,25,8,0.333333
Columbus_OH,C-84,25,8,0.333333
Columbus_OH,C-87,25,8,0.333333
Columbus_OH,C-90,25,8,0.454545
Columbus_OH,C-93,25,8,0.333333
Columbus_OH,C-96,25,8,0.454545
Columbus_OH,C-99,25,8,0.454545
Columbus_OH,C-102,25,8,0.454545
Columbus_OH,C-105,25,8,0.333333
Columbus_OH,C-108,25,8,0.333333
Columbus_OH,C-111,25,8,0.333333
Columbus_OH,C-114,25,8,0.333333
Columbus_OH,C-117,25,8,0.333333
Columbus_OH,C-120,25,8,0.333333
Columbus_OH,C-123,25,8,0.333333
Columbus_OH,C-126,25,8,0.333333
Columbus_OH,C-129,25,8,0.333333
Columbus_OH,C-132,25,8,0.333333
Columbus_OH,C-135,25,8,0.333333
Columbus_OH,C-138,25,8,0.333333
Columbus_OH,C-141,25,8,0.333333
Columbus_OH,C-144,25,8,0.333333
Columbus_OH,C-147,25,8,0.230769
Columbus_OH,C-3,25,16,0.777778
Columbus_OH,C-6,25,16,0.777778
Columbus_OH,C-9,25,16,0.600000
Columbus_OH,C-12,25,16,0.523810
Columbus_OH,C-15,25,16,0.523810
Columbus_OH,C-18,25,16,0.523810
Columbus_OH,C-21,25,16,0.454545
Columbus_OH,C-24,25,16,0.391304
Columbus_OH,C-27,25,16,0.454545
Columbus_OH,C-30,25,16,0.454545
Columbus_OH,C-33,25,16,0.454545
Columbus_OH,C-36,25,16,0.454545
Columbus_OH,C-39,25,16,0.454545
Columbus_OH,C-42,25,16,0.391304
Columbus_OH,C-45,25,16,0.391304
Columbus_OH,C-48,25,16,0.391304
