city,version,w,lambda,jaccard
Denver_CO,C-3,25,8,1.000000
Denver_CO,C-6,25,8,1.000000
Denver_CO,C-9,25,8,1.000000
Denver_CO,C-12,25,8,1.000000
Denver_CO,C-15,25,8,1.000000
Denver_CO,C-18,25,8,0.777778
Denver_CO,C-21,25,8,0.777778
Denver_CO,C-24,25,8,0.777778
Denver_CO,C-27,25,8,0.777778
Denver_CO,C-30,25,8,0.777778
Denver_CO,C-33,25,8,0.454545
Denver_CO,C-36,25,8,0.454545
Denver_CO,C-39,25,8,0.600000
Denver_CO,C-42,25,8,0.600000
Denver_CO,C-45,25,8,0.600000
Denver_CO,C-48,25,8,0.600000
Denver_CO,C-51,25,8,0.454545
Denver_CO,C-54,25,8,0.454545
Denver_CO,C-57,25,8,0.454545
Denver_CO,C-60,25,8,0.454545
Denver_CO,C-63,25,8,0.454545
Denver_CO,C-66,25,8,0.454545
Denver_CO,C-69,25,8,0.454545
Denver_CO,C-72,25,8,0.454545
Denver_CO,C-75,25,8,0.454545
Denver_CO,C-78,25,8,0.454545
Denver_CO,C-81,25,8,0.600000
Denver_CO,C-84,25,8,0.454545
Denver_CO,C-87,25,8,0.454545
Denver_CO,C-90,25,8,0.454545
Denver_CO,C-93,25,8,0.454545
Denver_CO,C-96,25,8,0.454545
Denver_CO,C-99,25,8,0.454545
Denver_CO,C-102,25,8,0.454545
Denver_CO,C-105,25,8,0.454545
Denver_CO,C-108,25,8,0.454545
Denver_CO,C-111,25,8,0.454545
Denver_CO,C-114,25,8,0.600000
Denver_CO,C-117,25,8,0.600000
Denver_CO,C-120,25,8,0.600000
Denver_CO,C-123,25,8,0.600000
Denver_CO,C-126,25,8,0.454545
Denver_CO,C-129,25,8,0.333333
Denver_CO,C-132,25,8,0.333333
Denver_CO,C-135,25,8,0.333333
Denver_CO,C-138,25,8,0.333333
Denver_CO,C-141,25,8,0.333333
Denver_CO,C-144,25,8,0.333333
Denver_CO,C-147,25,8,0.454545
Denver_CO,C-3,25,16,1.000000
Denver_CO,C-6,25,16,1.000000
Denver_CO,C-9,25,16,1.000000
Denver_CO,C-12,25,16,1.000000
Denver_CO,C-15,25,16,1.000000
Denver_CO,C-18,25,16,0.882353
Denver_CO,C-21,25,16,0.882353
Denver_CO,C-24,25,16,0.882353
Denver_CO,C-27,25,16,0.882353
Denver_CO,C-30,25,16,0.882353
Denver_CO,C-33,25,16,0.454545
Denver_CO,C-36,25,16,0.391304
Denver_CO,C-39,25,16,0.600000
Denver_CO,C-42,25,16,0.600000
Denver_CO,C-45,25,16,0.600000
Denver_CO,C-48,25,16,0.600000
Denver_CO,C-51,25,16,0.454545
Denver_CO,C-54,25,16,0.454545
Denver_CO,C-57,25,16,0.454545
Denver_CO,C-60,25,16,0.454545
Denver_CO,C-63,25,16,0.454545
Denver_CO,C-66,25,16,0.454545
Denver_CO,C-69,25,16,0.454545
Denver_CO,C-72,25,16,0.454545
Denver_CO,C-75,25,16,0.600000
Denver_CO,C-78,25,16,0.600000
Denver_CO,C-81,25,16,0.684211
Denver_CO,C-84,25,16,0.600000
Denver_CO,C-87,25,16,0.600000
Denver_CO,C-90,25,16,0.600000
Denver_CO,C-93,25,16,0.600000
Denver_CO,C-96,25,16,0.600000
Denver_CO,C-99,25,16,0.600000
Denver_CO,C-102,25,16,0.600000
Denver_CO,C-105,25,16,0.600000
Denver_CO,C-108,25,16,0.600000
Denver_CO,C-111,25,16,0.600000
Denver_CO,C-114,25,16,0.523810
Denver_CO,C-117,25,16,0.523810
Denver_CO,C-120,25,16,0.523810
Denver_CO,C-123,25,16,0.523810
Denver_CO,C-126,25,16,0.454545
Denver_CO,C-129,25,16,0.391304
Denver_CO,C-132,25,16,0.391304
Denver_CO,C-135,25,16,0.391304
Denver_CO,C-138,25,16,0.391304
Denver_CO,C-141,25,16,0.333333
Denver_CO,C-144,25,16,0.391304
Denver_CO,C-147,25,16,0.391304
Denver_CO,C-3,25,32,1.000000
Denver_CO,C-6,25,32,1.000000
Denver_CO,C-9,25,32,1.000000
Denver_CO,C-12,25,32,1.000000
Denver_CO,C-15,25,32,1.000000
Denver_CO,C-18,25,32,0.939394
Denver_CO,C-21,25,32,0.939394
Denver_CO,C-24,25,32,0.939394
Denver_CO,C-27,25,32,0.939394
Denver_CO,C-30,25,32,0.939394
Denver_CO,C-33,25,32,0.391304
Denver_CO,C-36,25,32,0.333333
Denver_CO,C-39,25,32,0.684211
Denver_CO,C-42,25,32,0.684211
Denver_CO,C-45,25,32,0.684211
Denver_CO,C-48,25,32,0.684211
Denver_CO,C-51,25,32,0.361702
Denver_CO,C-54,25,32,0.361702
Denver_CO,C-57,25,32,0.391304
Denver_CO,C-60,25,32,0.391304
Denver_CO,C-63,25,32,0.391304
Denver_CO,C-66,25,32,0.391304
Denver_CO,C-69,25,32,0.391304
Denver_CO,C-72,25,32,0.391304
Denver_CO,C-75,25,32,0.600000
Denver_CO,C-78,25,32,0.600000
Denver_CO,C-81,25,32,0.641026
Denver_CO,C-84,25,32,0.600000
Denver_CO,C-87,25,32,0.600000
Denver_CO,C-90,25,32,0.600000
Denver_CO,C-93,25,32,0.600000
Denver_CO,C-96,25,32,0.600000
Denver_CO,C-99,25,32,0.600000
Denver_CO,C-102,25,32,0.600000
Denver_CO,C-105,25,32,0.600000
Denver_CO,C-108,25,32,0.600000
Denver_CO,C-111,25,32,0.600000
Denver_CO,C-114,25,32,0.600000
Denver_CO,C-117,25,32,0.600000
Denver_CO,C-120,25,32,0.600000
Denver_CO,C-123,25,32,0.600000
Denver_CO,C-126,25,32,0.523810
Denver_CO,C-129,25,32,0.488372
Denver_CO,C-132,25,32,0.488372
Denver_CO,C-135,25,32,0.488372
Denver_CO,C-138,25,32,0.488372
Denver_CO,C-141,25,32,0.422222
Denver_CO,C-144,25,32,0.488372
Denver_CO,C-147,25,32,0.454545
Denver_CO,C-3,25,64,1.000000
Denver_CO,C-6,25,64,1.000000
Denver_CO,C-9,25,64,1.000000
Denver_CO,C-12,25,64,1.000000
Denver_CO,C-15,25,64,1.000000
Denver_CO,C-18,25,64,0.969231
Denver_CO,C-21,25,64,0.969231
Denver_CO,C-24,25,64,0.969231
Denver_CO,C-27,25,64,0.969231
Denver_CO,C-30,25,64,0.969231
Denver_CO,C-33,25,64,0.376344
Denver_CO,C-36,25,64,0.361702
Denver_CO,C-39,25,64,0.641026
Denver_CO,C-42,25,64,0.641026
Denver_CO,C-45,25,64,0.641026
Denver_CO,C-48,25,64,0.641026
Denver_CO,C-51,25,64,0.376344
Denver_CO,C-54,25,64,0.376344
Denver_CO,C-57,25,64,0.391304
Denver_CO,C-60,25,64,0.391304
Denver_CO,C-63,25,64,0.391304
Denver_CO,C-66,25,64,0.391304
Denver_CO,C-69,25,64,0.391304
Denver_CO,C-72,25,64,0.391304
Denver_CO,C-75,25,64,0.600000
Denver_CO,C-78,25,64,0.600000
Denver_CO,C-81,25,64,0.600000
