city,version,w,lambda,jaccard
Falls Church_VA,C-3,25,8,1.000000
Falls Church_VA,C-6,25,8,1.000000
Falls Church_VA,C-9,25,8,0.777778
Falls Church_VA,C-12,25,8,0.777778
Falls Church_VA,C-15,25,8,0.777778
Falls Church_VA,C-18,25,8,0.600000
Falls Church_VA,C-21,25,8,0.600000
Falls Church_VA,C-24,25,8,0.600000
Falls Church_VA,C-27,25,8,0.600000
Falls Church_VA,C-30,25,8,0.600000
Falls Church_VA,C-33,25,8,0.777778
Falls Church_VA,C-36,25,8,0.777778
Falls Church_VA,C-39,25,8,0.777778
Falls Church_VA,C-42,25,8,0.777778
Falls Church_VA,C-45,25,8,0.333333
Falls Church_VA,C-48,25,8,0.333333
Falls Church_VA,C-51,25,8,0.333333
Falls Church_VA,C-54,25,8,0.333333
Falls Church_VA,C-57,25,8,0.333333
Falls Church_VA,C-60,25,8,0.333333
Falls Church_VA,C-63,25,8,0.333333
Falls Church_VA,C-66,25,8,0.333333
Falls Church_VA,C-69,25,8,0.333333
Falls Church_VA,C-72,25,8,0.230769
Falls Church_VA,C-75,25,8,0.230769
Falls Church_VA,C-78,25,8,0.230769
Falls Church_VA,C-81,25,8,0.230769
Falls Church_VA,C-84,25,8,0.230769
Falls Church_VA,C-87,25,8,0.230769
Falls Church_VA,C-90,25,8,0.230769
Falls Church_VA,C-93,25,8,0.142857
Falls Church_VA,C-96,25,8,0.142857
Falls Church_VA,C-99,25,8,0.142857
Falls Church_VA,C-102,25,8,0.142857
Falls Church_VA,C-105,25,8,0.142857
Falls Church_VA,C-108,25,8,0.142857
Falls Church_VA,C-111,25,8,0.142857
Falls Church_VA,C-114,25,8,0.142857
Falls Church_VA,C-117,25,8,0.142857
Falls Church_VA,C-120,25,8,0.142857
Falls Church_VA,C-123,25,8,0.142857
Falls Church_VA,C-126,25,8,0.142857
Falls Church_VA,C-129,25,8,0.142857
Falls Church_VA,C-132,25,8,0.142857
Falls Church_VA,C-135,25,8,0.142857
Falls Church_VA,C-138,25,8,0.142857
Falls Church_VA,C-141,25,8,0.142857
Falls Church_VA,C-144,25,8,0.142857
Falls Church_VA,C-147,25,8,0.142857
Falls Church_VA,C-3,25,16,1.000000
Falls Church_VA,C-6,25,16,1.000000
Falls Church_VA,C-9,25,16,0.882353
Falls Church_VA,C-12,25,16,0.882353
Falls Church_VA,C-15,25,16,0.777778
Falls Church_VA,C-18,25,16,0.684211
Falls Church_VA,C-21,25,16,0.684211
Falls Church_VA,C-24,25,16,0.684211
Falls Church_VA,C-27,25,16,0.684211
Falls Church_VA,C-30,25,16,0.600000
Falls Church_VA,C-33,25,16,0.600000
Falls Church_VA,C-36,25,16,0.600000
Falls Church_VA,C-39,25,16,0.523810
Falls Church_VA,C-42,25,16,0.600000
Falls Church_VA,C-45,25,16,0.454545
Falls Church_VA,C-48,25,16,0.454545
Falls Church_VA,C-51,25,16,0.391304
Falls Church_VA,C-54,25,16,0.333333
Falls Church_VA,C-57,25,16,0.333333
Falls Church_VA,C-60,25,16,0.333333
Falls Church_VA,C-63,25,16,0.333333
Falls Church_VA,C-66,25,16,0.333333
Falls Church_VA,C-69,25,16,0.333333
Falls Church_VA,C-72,25,16,0.280000
Falls Church_VA,C-75,25,16,0.280000
Falls Church_VA,C-78,25,16,0.333333
Falls Church_VA,C-81,25,16,0.333333
Falls Church_VA,C-84,25,16,0.280000
Falls Church_VA,C-87,25,16,0.280000
Falls Church_VA,C-90,25,16,0.280000
Falls Church_VA,C-93,25,16,0.230769
Falls Church_VA,C-96,25,16,0.230769
Falls Church_VA,C-99,25,16,0.230769
Falls Church_VA,C-102,25,16,0.230769
Falls Church_VA,C-105,25,16,0.230769
Falls Church_VA,C-108,25,16,0.230769
Falls Church_VA,C-111,25,16,0.230769
Falls Church_VA,C-114,25,16,0.185185
Falls Church_VA,C-117,25,16,0.185185
Falls Church_VA,C-120,25,16,0.185185
Falls Church_VA,C-123,25,16,0.185185
Falls Church_VA,C-126,25,16,0.230769
Falls Church_VA,C-129,25,16,0.230769
Falls Church_VA,C-132,25,16,0.230769
Falls Church_VA,C-135,25,16,0.230769
Falls Church_VA,C-138,25,16,0.230769
Falls Church_VA,C-141,25,16,0.230769
Falls Church_VA,C-144,25,16,0.280000
Falls Church_VA,C-147,25,16,0.280000
Falls Church_VA,C-3,25,32,1.000000
Falls Church_VA,C-6,25,32,1.000000
Falls Church_VA,C-9,25,32,0.828571
Falls Church_VA,C-12,25,32,0.882353
Falls Church_VA,C-15,25,32,0.882353
Falls Church_VA,C-18,25,32,0.777778
Falls Church_VA,C-21,25,32,0.729730
Falls Church_VA,C-24,25,32,0.729730
Falls Church_VA,C-27,25,32,0.777778
Falls Church_VA,C-30,25,32,0.684211
Falls Church_VA,C-33,25,32,0.641026
Falls Church_VA,C-36,25,32,0.600000
Falls Church_VA,C-39,25,32,0.560976
Falls Church_VA,C-42,25,32,0.600000
Falls Church_VA,C-45,25,32,0.454545
Falls Church_VA,C-48,25,32,0.454545
Falls Church_VA,C-51,25,32,0.422222
Falls Church_VA,C-54,25,32,0.391304
Falls Church_VA,C-57,25,32,0.391304
Falls Church_VA,C-60,25,32,0.391304
Falls Church_VA,C-63,25,32,0.391304
Falls Church_VA,C-66,25,32,0.333333
Falls Church_VA,C-69,25,32,0.333333
Falls Church_VA,C-72,25,32,0.280000
Falls Church_VA,C-75,25,32,0.280000
Falls Church_VA,C-78,25,32,0.280000
Falls Church_VA,C-81,25,32,0.280000
Falls Church_VA,C-84,25,32,0.280000
Falls Church_VA,C-87,25,32,0.280000
Falls Church_VA,C-90,25,32,0.280000
Falls Church_VA,C-93,25,32,0.254902
Falls Church_VA,C-96,25,32,0.254902
Falls Church_VA,C-99,25,32,0.254902
Falls Church_VA,C-102,25,32,0.254902
Falls Church_VA,C-105,25,32,0.254902
Falls Church_VA,C-108,25,32,0.254902
Falls Church_VA,C-111,25,32,0.254902
Falls Church_VA,C-114,25,32,0.230769
Falls Church_VA,C-117,25,32,0.207547
Falls Church_VA,C-120,25,32,0.207547
Falls Church_VA,C-123,25,32,0.230769
Falls Church_VA,C-126,25,32,0.254902
Falls Church_VA,C-129,25,32,0.254902
Falls Church_VA,C-132,25,32,0.254902
Falls Church_VA,C-135,25,32,0.254902
Falls Church_VA,C-138,25,32,0.254902
Falls Church_VA,C-141,25,32,0.254902
Falls Church_VA,C-144,25,32,0.254902
Falls Church_VA,C-147,25,32,0.254902
Falls Church_VA,C-3,25,64,1.000000
Falls Church_VA,C-6,25,64,1.000000
Falls Church_VA,C-9,25,64,0.855072
Falls Church_VA,C-12,25,64,0.910448
Falls Church_VA,C-15,25,64,0.855072
Falls Church_VA,C-18,25,64,0.828571
Falls Church_VA,C-21,25,64,0.753425
Falls Church_VA,C-24,25,64,0.777778
Falls Church_VA,C-27,25,64,0.729730
Falls Church_VA,C-30,25,64,0.684211
Falls Church_VA,C-33,25,64,0.620253
Falls Church_VA,C-36,25,64,0.600000
Falls Church_VA,C-39,25,64,0.580247
Falls Church_VA,C-42,25,64,0.600000
