city,version,w,lambda,jaccard
Houston,C-3,25,8,1.000000
Houston,C-6,25,8,1.000000
Houston,C-9,25,8,1.000000
Houston,C-12,25,8,1.000000
Houston,C-15,25,8,0.400000
Houston,C-18,25,8,0.400000
Houston,C-21,25,8,0.400000
Houston,C-24,25,8,0.400000
Houston,C-27,25,8,0.400000
Houston,C-30,25,8,0.400000
Houston,C-33,25,8,0.400000
Houston,C-36,25,8,0.400000
Houston,C-39,25,8,0.400000
Houston,C-42,25,8,0.400000
Houston,C-45,25,8,0.400000
Houston,C-48,25,8,0.400000
Houston,C-51,25,8,0.750000
Houston,C-54,25,8,0.750000
Houston,C-57,25,8,0.750000
Houston,C-60,25,8,0.750000
Houston,C-63,25,8,0.750000
Houston,C-66,25,8,0.750000
Houston,C-69,25,8,0.750000
Houston,C-72,25,8,0.750000
Houston,C-75,25,8,0.750000
Houston,C-78,25,8,0.750000
Houston,C-81,25,8,0.400000
Houston,C-84,25,8,0.400000
Houston,C-87,25,8,0.400000
Houston,C-90,25,8,0.400000
Houston,C-93,25,8,0.400000
Houston,C-96,25,8,0.400000
Houston,C-99,25,8,0.400000
Houston,C-102,25,8,0.400000
Houston,C-105,25,8,0.400000
Houston,C-108,25,8,0.400000
Houston,C-111,25,8,0.400000
Houston,C-114,25,8,0.400000
Houston,C-117,25,8,0.400000
Houston,C-120,25,8,0.400000
Houston,C-123,25,8,0.400000
Houston,C-126,25,8,0.400000
Houston,C-129,25,8,0.400000
Houston,C-132,25,8,0.400000
Houston,C-135,25,8,0.400000
Houston,C-138,25,8,0.400000
Houston,C-141,25,8,0.400000
Houston,C-144,25,8,0.400000
Houston,C-147,25,8,0.272727
Houston,C-3,25,16,1.000000
Houston,C-6,25,16,1.000000
Houston,C-9,25,16,1.000000
Houston,C-12,25,16,1.000000
Houston,C-15,25,16,0.578947
Houston,C-18,25,16,0.578947
Houston,C-21,25,16,0.578947
Houston,C-24,25,16,0.578947
Houston,C-27,25,16,0.578947
Houston,C-30,25,16,0.578947
Houston,C-33,25,16,0.578947
Houston,C-36,25,16,0.578947
Houston,C-39,25,16,0.578947
Houston,C-42,25,16,0.578947
Houston,C-45,25,16,0.578947
Houston,C-48,25,16,0.578947
Houston,C-51,25,16,0.666667
Houston,C-54,25,16,0.666667
Houston,C-57,25,16,0.666667
Houston,C-60,25,16,0.666667
Houston,C-63,25,16,0.666667
Houston,C-66,25,16,0.666667
Houston,C-69,25,16,0.666667
Houston,C-72,25,16,0.666667
Houston,C-75,25,16,0.666667
Houston,C-78,25,16,0.666667
Houston,C-81,25,16,0.500000
Houston,C-84,25,16,0.500000
Houston,C-87,25,16,0.500000
Houston,C-90,25,16,0.500000
Houston,C-93,25,16,0.500000
Houston,C-96,25,16,0.500000
Houston,C-99,25,16,0.500000
Houston,C-102,25,16,0.500000
Houston,C-105,25,16,0.500000
Houston,C-108,25,16,0.500000
Houston,C-111,25,16,0.500000
Houston,C-114,25,16,0.500000
Houston,C-117,25,16,0.500000
Houston,C-120,25,16,0.500000
Houston,C-123,25,16,0.500000
Houston,C-126,25,16,0.500000
Houston,C-129,25,16,0.500000
Houston,C-132,25,16,0.500000
Houston,C-135,25,16,0.500000
Houston,C-138,25,16,0.500000
Houston,C-141,25,16,0.500000
Houston,C-144,25,16,0.500000
Houston,C-147,25,16,0.450000
Houston,C-3,25,32,1.000000
Houston,C-6,25,32,1.000000
Houston,C-9,25,32,1.000000
Houston,C-12,25,32,1.000000
Houston,C-15,25,32,0.666667
Houston,C-18,25,32,0.666667
Houston,C-21,25,32,0.666667
Houston,C-24,25,32,0.666667
Houston,C-27,25,32,0.666667
Houston,C-30,25,32,0.666667
Houston,C-33,25,32,0.666667
Houston,C-36,25,32,0.666667
Houston,C-39,25,32,0.666667
Houston,C-42,25,32,0.666667
Houston,C-45,25,32,0.666667
Houston,C-48,25,32,0.666667
Houston,C-51,25,32,0.666667
Houston,C-54,25,32,0.666667
Houston,C-57,25,32,0.666667
