city,version,w,lambda,jaccard
Indianapolis_IN,C-3,25,8,1.000000
Indianapolis_IN,C-6,25,8,1.000000
Indianapolis_IN,C-9,25,8,1.000000
Indianapolis_IN,C-12,25,8,0.454545
Indianapolis_IN,C-15,25,8,0.454545
Indianapolis_IN,C-18,25,8,0.454545
Indianapolis_IN,C-21,25,8,0.454545
Indianapolis_IN,C-24,25,8,0.454545
Indianapolis_IN,C-27,25,8,0.454545
Indianapolis_IN,C-30,25,8,0.454545
Indianapolis_IN,C-33,25,8,0.454545
Indianapolis_IN,C-36,25,8,0.454545
Indianapolis_IN,C-39,25,8,0.454545
Indianapolis_IN,C-42,25,8,0.454545
Indianapolis_IN,C-45,25,8,0.454545
Indianapolis_IN,C-48,25,8,0.142857
Indianapolis_IN,C-51,25,8,0.142857
Indianapolis_IN,C-54,25,8,0.142857
Indianapolis_IN,C-57,25,8,0.142857
Indianapolis_IN,C-60,25,8,0.142857
Indianapolis_IN,C-63,25,8,0.142857
Indianapolis_IN,C-66,25,8,0.142857
Indianapolis_IN,C-69,25,8,0.142857
Indianapolis_IN,C-72,25,8,0.142857
Indianapolis_IN,C-75,25,8,0.142857
Indianapolis_IN,C-78,25,8,0.142857
Indianapolis_IN,C-81,25,8,0.142857
Indianapolis_IN,C-84,25,8,0.142857
Indianapolis_IN,C-87,25,8,0.142857
Indianapolis_IN,C-90,25,8,0.142857
Indianapolis_IN,C-93,25,8,0.142857
Indianapolis_IN,C-96,25,8,0.142857
Indianapolis_IN,C-99,25,8,0.142857
Indianapolis_IN,C-102,25,8,0.142857
Indianapolis_IN,C-105,25,8,0.142857
Indianapolis_IN,C-108,25,8,0.142857
Indianapolis_IN,C-111,25,8,0.142857
Indianapolis_IN,C-114,25,8,0.142857
Indianapolis_IN,C-117,25,8,0.142857
Indianapolis_IN,C-120,25,8,0.142857
Indianapolis_IN,C-123,25,8,0.142857
Indianapolis_IN,C-126,25,8,0.142857
Indianapolis_IN,C-129,25,8,0.142857
Indianapolis_IN,C-132,25,8,0.142857
Indianapolis_IN,C-135,25,8,0.142857
Indianapolis_IN,C-138,25,8,0.142857
Indianapolis_IN,C-141,25,8,0.142857
Indianapolis_IN,C-144,25,8,0.142857
Indianapolis_IN,C-147,25,8,0.142857
Indianapolis_IN,C-3,25,16,1.000000
Indianapolis_IN,C-6,25,16,1.000000
Indianapolis_IN,C-9,25,16,1.000000
Indianapolis_IN,C-12,25,16,0.333333
Indianapolis_IN,C-15,25,16,0.333333
Indianapolis_IN,C-18,25,16,0.333333
Indianapolis_IN,C-21,25,16,0.333333
Indianapolis_IN,C-24,25,16,0.333333
Indianapolis_IN,C-27,25,16,0.333333
Indianapolis_IN,C-30,25,16,0.333333
Indianapolis_IN,C-33,25,16,0.333333
Indianapolis_IN,C-36,25,16,0.333333
Indianapolis_IN,C-39,25,16,0.333333
Indianapolis_IN,C-42,25,16,0.333333
Indianapolis_IN,C-45,25,16,0.333333
Indianapolis_IN,C-48,25,16,0.103448
Indianapolis_IN,C-51,25,16,0.103448
Indianapolis_IN,C-54,25,16,0.103448
Indianapolis_IN,C-57,25,16,0.103448
Indianapolis_IN,C-60,25,16,0.103448
Indianapolis_IN,C-63,25,16,0.103448
Indianapolis_IN,C-66,25,16,0.103448
Indianapolis_IN,C-69,25,16,0.103448
Indianapolis_IN,C-72,25,16,0.103448
Indianapolis_IN,C-75,25,16,0.103448
