city,version,w,lambda,jaccard
Kansas City_MO,C-3,25,8,1.000000
Kansas City_MO,C-6,25,8,1.000000
Kansas City_MO,C-9,25,8,1.000000
Kansas City_MO,C-12,25,8,0.777778
Kansas City_MO,C-15,25,8,0.777778
Kansas City_MO,C-18,25,8,0.777778
Kansas City_MO,C-21,25,8,0.777778
Kansas City_MO,C-24,25,8,0.777778
Kansas City_MO,C-27,25,8,0.777778
Kansas City_MO,C-30,25,8,0.777778
Kansas City_MO,C-33,25,8,0.777778
Kansas City_MO,C-36,25,8,0.777778
Kansas City_MO,C-39,25,8,0.777778
Kansas City_MO,C-42,25,8,0.777778
Kansas City_MO,C-45,25,8,0.777778
Kansas City_MO,C-48,25,8,0.777778
Kansas City_MO,C-51,25,8,0.777778
Kansas City_MO,C-54,25,8,0.777778
Kansas City_MO,C-57,25,8,0.777778
Kansas City_MO,C-60,25,8,0.777778
Kansas City_MO,C-63,25,8,0.777778
Kansas City_MO,C-66,25,8,0.777778
Kansas City_MO,C-69,25,8,0.777778
Kansas City_MO,C-72,25,8,0.777778
Kansas City_MO,C-75,25,8,0.777778
Kansas City_MO,C-78,25,8,0.777778
Kansas City_MO,C-81,25,8,0.777778
Kansas City_MO,C-84,25,8,0.777778
Kansas City_MO,C-87,25,8,0.600000
Kansas City_MO,C-90,25,8,0.600000
Kansas City_MO,C-93,25,8,0.600000
Kansas City_MO,C-96,25,8,0.600000
Kansas City_MO,C-99,25,8,0.600000
Kansas City_MO,C-102,25,8,0.600000
Kansas City_MO,C-105,25,8,0.600000
Kansas City_MO,C-108,25,8,0.777778
Kansas City_MO,C-111,25,8,0.777778
Kansas City_MO,C-114,25,8,0.777778
Kansas City_MO,C-117,25,8,0.777778
Kansas City_MO,C-120,25,8,0.777778
Kansas City_MO,C-123,25,8,0.777778
Kansas City_MO,C-126,25,8,0.777778
Kansas City_MO,C-129,25,8,0.777778
Kansas City_MO,C-132,25,8,0.777778
Kansas City_MO,C-135,25,8,0.777778
Kansas City_MO,C-138,25,8,0.777778
Kansas City_MO,C-141,25,8,0.777778
Kansas City_MO,C-144,25,8,0.777778
Kansas City_MO,C-147,25,8,0.777778
Kansas City_MO,C-3,25,16,1.000000
Kansas City_MO,C-6,25,16,1.000000
Kansas City_MO,C-9,25,16,1.000000
Kansas City_MO,C-12,25,16,0.882353
Kansas City_MO,C-15,25,16,0.882353
Kansas City_MO,C-18,25,16,0.777778
Kansas City_MO,C-21,25,16,0.777778
Kansas City_MO,C-24,25,16,0.777778
Kansas City_MO,C-27,25,16,0.777778
Kansas City_MO,C-30,25,16,0.777778
Kansas City_MO,C-33,25,16,0.600000
Kansas City_MO,C-36,25,16,0.600000
Kansas City_MO,C-39,25,16,0.600000
Kansas City_MO,C-42,25,16,0.600000
