city,version,w,lambda,jaccard
Milwaukee_WI,C-3,25,8,1.000000
Milwaukee_WI,C-6,25,8,1.000000
Milwaukee_WI,C-9,25,8,1.000000
Milwaukee_WI,C-12,25,8,1.000000
Milwaukee_WI,C-15,25,8,1.000000
Milwaukee_WI,C-18,25,8,1.000000
Milwaukee_WI,C-21,25,8,1.000000
Milwaukee_WI,C-24,25,8,1.000000
Milwaukee_WI,C-27,25,8,1.000000
Milwaukee_WI,C-3,25,16,1.000000
Milwaukee_WI,C-6,25,16,1.000000
Milwaukee_WI,C-9,25,16,1.000000
Milwaukee_WI,C-12,25,16,1.000000
Milwaukee_WI,C-15,25,16,1.000000
Milwaukee_WI,C-18,25,16,1.000000
Milwaukee_WI,C-21,25,16,1.000000
Milwaukee_WI,C-24,25,16,1.000000
Milwaukee_WI,C-27,25,16,1.000000
Milwaukee_WI,C-3,25,32,1.000000
Milwaukee_WI,C-6,25,32,1.000000
Milwaukee_WI,C-9,25,32,1.000000
Milwaukee_WI,C-12,25,32,1.000000
Milwaukee_WI,C-15,25,32,1.000000
Milwaukee_WI,C-18,25,32,1.000000
Milwaukee_WI,C-21,25,32,1.000000
Milwaukee_WI,C-24,25,32,1.000000
Milwaukee_WI,C-27,25,32,1.000000
Milwaukee_WI,C-3,25,64,1.000000
Milwaukee_WI,C-6,25,64,1.000000
Milwaukee_WI,C-9,25,64,1.000000
Milwaukee_WI,C-12,25,64,1.000000
Milwaukee_WI,C-15,25,64,1.000000
Milwaukee_WI,C-18,25,64,1.000000
Milwaukee_WI,C-21,25,64,1.000000
Milwaukee_WI,C-24,25,64,1.000000
Milwaukee_WI,C-27,25,64,1.000000
Milwaukee_WI,C-3,25,inf,1.000000
Milwaukee_WI,C-6,25,inf,1.000000
Milwaukee_WI,C-9,25,inf,1.000000
Milwaukee_WI,C-12,25,inf,1.000000
Milwaukee_WI,C-15,25,inf,1.000000
Milwaukee_WI,C-18,25,inf,1.000000
Milwaukee_WI,C-21,25,inf,1.000000
Milwaukee_WI,C-24,25,inf,1.000000
Milwaukee_WI,C-27,25,inf,1.000000
Milwaukee_WI,C-3,50,8,1.000000
Milwaukee_WI,C-6,50,8,1.000000
Milwaukee_WI,C-9,50,8,1.000000
Milwaukee_WI,C-12,50,8,1.000000
Milwaukee_WI,C-15,50,8,1.000000
Milwaukee_WI,C-18,50,8,1.000000
Milwaukee_WI,C-21,50,8,1.000000
Milwaukee_WI,C-24,50,8,1.000000
Milwaukee_WI,C-27,50,8,1.000000
Milwaukee_WI,C-3,50,16,1.000000
Milwaukee_WI,C-6,50,16,1.000000
Milwaukee_WI,C-9,50,16,1.000000
Milwaukee_WI,C-12,50,16,1.000000
Milwaukee_WI,C-15,50,16,1.000000
Milwaukee_WI,C-18,50,16,1.000000
Milwaukee_WI,C-21,50,16,1.000000
Milwaukee_WI,C-24,50,16,1.000000
Milwaukee_WI,C-27,50,16,1.000000
Milwaukee_WI,C-3,50,32,1.000000
Milwaukee_WI,C-6,50,32,1.000000
Milwaukee_WI,C-9,50,32,1.000000
Milwaukee_WI,C-12,50,32,1.000000
Milwaukee_WI,C-15,50,32,1.000000
Milwaukee_WI,C-18,50,32,1.000000
Milwaukee_WI,C-21,50,32,1.000000
Milwaukee_WI,C-24,50,32,1.000000
Milwaukee_WI,C-27,50,32,1.000000
Milwaukee_WI,C-3,50,64,1.000000
Milwaukee_WI,C-6,50,64,1.000000
Milwaukee_WI,C-9,50,64,1.000000
Milwaukee_WI,C-12,50,64,1.000000
Milwaukee_WI,C-15,50,64,1.000000
Milwaukee_WI,C-18,50,64,1.000000
Milwaukee_WI,C-21,50,64,1.000000
Milwaukee_WI,C-24,50,64,1.000000
Milwaukee_WI,C-27,50,64,1.000000
Milwaukee_WI,C-3,50,inf,1.000000
Milwaukee_WI,C-6,50,inf,1.000000
Milwaukee_WI,C-9,50,inf,1.000000
Milwaukee_WI,C-12,50,inf,1.000000
Milwaukee_WI,C-15,50,inf,1.000000
Milwaukee_WI,C-18,50,inf,1.000000
Milwaukee_WI,C-21,50,inf,1.000000
Milwaukee_WI,C-24,50,inf,1.000000
Milwaukee_WI,C-27,50,inf,1.000000
