city,version,w,lambda,jaccard
New Brunswick_NJ,C-3,25,8,1.000000
New Brunswick_NJ,C-6,25,8,1.000000
New Brunswick_NJ,C-9,25,8,1.000000
New Brunswick_NJ,C-12,25,8,1.000000
New Brunswick_NJ,C-15,25,8,0.230769
New Brunswick_NJ,C-18,25,8,0.230769
New Brunswick_NJ,C-21,25,8,0.454545
New Brunswick_NJ,C-24,25,8,0.333333
New Brunswick_NJ,C-27,25,8,0.333333
New Brunswick_NJ,C-30,25,8,0.333333
New Brunswick_NJ,C-33,25,8,0.333333
New Brunswick_NJ,C-36,25,8,0.333333
New Brunswick_NJ,C-39,25,8,0.333333
New Brunswick_NJ,C-42,25,8,0.333333
New Brunswick_NJ,C-45,25,8,0.333333
New Brunswick_NJ,C-48,25,8,0.333333
New Brunswick_NJ,C-51,25,8,0.333333
New Brunswick_NJ,C-54,25,8,0.333333
New Brunswick_NJ,C-57,25,8,0.333333
New Brunswick_NJ,C-60,25,8,0.333333
New Brunswick_NJ,C-63,25,8,0.333333
New Brunswick_NJ,C-66,25,8,0.333333
New Brunswick_NJ,C-69,25,8,0.333333
New Brunswick_NJ,C-72,25,8,0.333333
New Brunswick_NJ,C-75,25,8,0.333333
New Brunswick_NJ,C-78,25,8,0.333333
New Brunswick_NJ,C-81,25,8,0.333333
New Brunswick_NJ,C-84,25,8,0.333333
New Brunswick_NJ,C-87,25,8,0.333333
New Brunswick_NJ,C-90,25,8,0.333333
New Brunswick_NJ,C-93,25,8,0.333333
New Brunswick_NJ,C-96,25,8,0.333333
New Brunswick_NJ,C-99,25,8,0.333333
New Brunswick_NJ,C-102,25,8,0.333333
New Brunswick_NJ,C-105,25,8,0.333333
New Brunswick_NJ,C-108,25,8,0.230769
New Brunswick_NJ,C-111,25,8,0.230769
New Brunswick_NJ,C-114,25,8,0.230769
New Brunswick_NJ,C-117,25,8,0.230769
New Brunswick_NJ,C-120,25,8,0.230769
New Brunswick_NJ,C-123,25,8,0.230769
New Brunswick_NJ,C-126,25,8,0.230769
New Brunswick_NJ,C-129,25,8,0.230769
New Brunswick_NJ,C-132,25,8,0.230769
New Brunswick_NJ,C-135,25,8,0.230769
New Brunswick_NJ,C-138,25,8,0.230769
New Brunswick_NJ,C-141,25,8,0.230769
New Brunswick_NJ,C-144,25,8,0.142857
New Brunswick_NJ,C-147,25,8,0.142857
New Brunswick_NJ,C-3,25,16,1.000000
New Brunswick_NJ,C-6,25,16,1.000000
New Brunswick_NJ,C-9,25,16,1.000000
New Brunswick_NJ,C-12,25,16,1.000000
New Brunswick_NJ,C-15,25,16,0.280000
New Brunswick_NJ,C-18,25,16,0.280000
New Brunswick_NJ,C-21,25,16,0.391304
New Brunswick_NJ,C-24,25,16,0.391304
New Brunswick_NJ,C-27,25,16,0.391304
New Brunswick_NJ,C-30,25,16,0.391304
New Brunswick_NJ,C-33,25,16,0.391304
New Brunswick_NJ,C-36,25,16,0.391304
New Brunswick_NJ,C-39,25,16,0.391304
New Brunswick_NJ,C-42,25,16,0.391304
New Brunswick_NJ,C-45,25,16,0.391304
New Brunswick_NJ,C-48,25,16,0.391304
New Brunswick_NJ,C-51,25,16,0.391304
New Brunswick_NJ,C-54,25,16,0.391304
New Brunswick_NJ,C-57,25,16,0.391304
New Brunswick_NJ,C-60,25,16,0.333333
New Brunswick_NJ,C-63,25,16,0.333333
New Brunswick_NJ,C-66,25,16,0.333333
New Brunswick_NJ,C-69,25,16,0.333333
New Brunswick_NJ,C-72,25,16,0.333333
New Brunswick_NJ,C-75,25,16,0.333333
New Brunswick_NJ,C-78,25,16,0.333333
New Brunswick_NJ,C-81,25,16,0.333333
New Brunswick_NJ,C-84,25,16,0.333333
New Brunswick_NJ,C-87,25,16,0.280000
New Brunswick_NJ,C-90,25,16,0.280000
New Brunswick_NJ,C-93,25,16,0.280000
New Brunswick_NJ,C-96,25,16,0.280000
New Brunswick_NJ,C-99,25,16,0.333333
New Brunswick_NJ,C-102,25,16,0.333333
New Brunswick_NJ,C-105,25,16,0.391304
New Brunswick_NJ,C-108,25,16,0.333333
New Brunswick_NJ,C-111,25,16,0.333333
New Brunswick_NJ,C-114,25,16,0.333333
New Brunswick_NJ,C-117,25,16,0.333333
New Brunswick_NJ,C-120,25,16,0.333333
New Brunswick_NJ,C-123,25,16,0.333333
New Brunswick_NJ,C-126,25,16,0.333333
New Brunswick_NJ,C-129,25,16,0.333333
New Brunswick_NJ,C-132,25,16,0.333333
New Brunswick_NJ,C-135,25,16,0.333333
New Brunswick_NJ,C-138,25,16,0.333333
New Brunswick_NJ,C-141,25,16,0.333333
New Brunswick_NJ,C-144,25,16,0.333333
New Brunswick_NJ,C-147,25,16,0.333333
New Brunswick_NJ,C-3,25,32,1.000000
New Brunswick_NJ,C-6,25,32,1.000000
New Brunswick_NJ,C-9,25,32,1.000000
New Brunswick_NJ,C-12,25,32,1.000000
New Brunswick_NJ,C-15,25,32,0.422222
New Brunswick_NJ,C-18,25,32,0.391304
New Brunswick_NJ,C-21,25,32,0.454545
New Brunswick_NJ,C-24,25,32,0.523810
New Brunswick_NJ,C-27,25,32,0.523810
New Brunswick_NJ,C-30,25,32,0.523810
New Brunswick_NJ,C-33,25,32,0.523810
New Brunswick_NJ,C-36,25,32,0.523810
New Brunswick_NJ,C-39,25,32,0.523810
New Brunswick_NJ,C-42,25,32,0.523810
New Brunswick_NJ,C-45,25,32,0.523810
New Brunswick_NJ,C-48,25,32,0.523810
New Brunswick_NJ,C-51,25,32,0.523810
New Brunswick_NJ,C-54,25,32,0.523810
New Brunswick_NJ,C-57,25,32,0.523810
New Brunswick_NJ,C-60,25,32,0.488372
New Brunswick_NJ,C-63,25,32,0.488372
New Brunswick_NJ,C-66,25,32,0.488372
New Brunswick_NJ,C-69,25,32,0.488372
New Brunswick_NJ,C-72,25,32,0.488372
New Brunswick_NJ,C-75,25,32,0.488372
New Brunswick_NJ,C-78,25,32,0.488372
New Brunswick_NJ,C-81,25,32,0.488372
New Brunswick_NJ,C-84,25,32,0.454545
New Brunswick_NJ,C-87,25,32,0.422222
New Brunswick_NJ,C-90,25,32,0.422222
New Brunswick_NJ,C-93,25,32,0.422222
New Brunswick_NJ,C-96,25,32,0.422222
New Brunswick_NJ,C-99,25,32,0.454545
New Brunswick_NJ,C-102,25,32,0.454545
New Brunswick_NJ,C-105,25,32,0.523810
New Brunswick_NJ,C-108,25,32,0.454545
New Brunswick_NJ,C-111,25,32,0.422222
New Brunswick_NJ,C-114,25,32,0.422222
New Brunswick_NJ,C-117,25,32,0.422222
New Brunswick_NJ,C-120,25,32,0.422222
New Brunswick_NJ,C-123,25,32,0.391304
New Brunswick_NJ,C-126,25,32,0.391304
New Brunswick_NJ,C-129,25,32,0.391304
New Brunswick_NJ,C-132,25,32,0.391304
New Brunswick_NJ,C-135,25,32,0.391304
New Brunswick_NJ,C-138,25,32,0.391304
New Brunswick_NJ,C-141,25,32,0.391304
New Brunswick_NJ,C-144,25,32,0.391304
New Brunswick_NJ,C-147,25,32,0.391304
New Brunswick_NJ,C-3,25,64,0.939394
New Brunswick_NJ,C-6,25,64,0.939394
New Brunswick_NJ,C-9,25,64,0.969231
New Brunswick_NJ,C-12,25,64,0.969231
New Brunswick_NJ,C-15,25,64,0.422222
New Brunswick_NJ,C-18,25,64,0.454545
New Brunswick_NJ,C-21,25,64,0.454545
New Brunswick_NJ,C-24,25,64,0.454545
New Brunswick_NJ,C-27,25,64,0.454545
New Brunswick_NJ,C-30,25,64,0.454545
New Brunswick_NJ,C-33,25,64,0.454545
New Brunswick_NJ,C-36,25,64,0.454545
New Brunswick_NJ,C-39,25,64,0.454545
New Brunswick_NJ,C-42,25,64,0.438202
New Brunswick_NJ,C-45,25,64,0.454545
New Brunswick_NJ,C-48,25,64,0.422222
New Brunswick_NJ,C-51,25,64,0.422222
New Brunswick_NJ,C-54,25,64,0.422222
New Brunswick_NJ,C-57,25,64,0.422222
New Brunswick_NJ,C-60,25,64,0.422222
New Brunswick_NJ,C-63,25,64,0.422222
