city,version,w,lambda,jaccard
New-Orleans_LA,C-3,25,8,1.000000
New-Orleans_LA,C-6,25,8,0.777778
New-Orleans_LA,C-9,25,8,0.777778
New-Orleans_LA,C-12,25,8,0.777778
New-Orleans_LA,C-15,25,8,0.777778
New-Orleans_LA,C-18,25,8,0.777778
New-Orleans_LA,C-21,25,8,0.777778
New-Orleans_LA,C-24,25,8,0.777778
New-Orleans_LA,C-27,25,8,0.600000
New-Orleans_LA,C-30,25,8,0.600000
New-Orleans_LA,C-33,25,8,0.600000
New-Orleans_LA,C-36,25,8,0.600000
New-Orleans_LA,C-39,25,8,0.600000
New-Orleans_LA,C-42,25,8,0.600000
New-Orleans_LA,C-45,25,8,0.600000
New-Orleans_LA,C-48,25,8,0.600000
New-Orleans_LA,C-51,25,8,0.600000
New-Orleans_LA,C-54,25,8,0.600000
New-Orleans_LA,C-57,25,8,0.600000
New-Orleans_LA,C-60,25,8,0.600000
New-Orleans_LA,C-63,25,8,0.600000
New-Orleans_LA,C-66,25,8,0.600000
New-Orleans_LA,C-69,25,8,0.600000
New-Orleans_LA,C-72,25,8,0.600000
New-Orleans_LA,C-75,25,8,0.600000
New-Orleans_LA,C-78,25,8,0.600000
New-Orleans_LA,C-81,25,8,0.600000
New-Orleans_LA,C-84,25,8,0.600000
New-Orleans_LA,C-87,25,8,0.600000
New-Orleans_LA,C-90,25,8,0.600000
New-Orleans_LA,C-93,25,8,0.600000
New-Orleans_LA,C-96,25,8,0.600000
New-Orleans_LA,C-99,25,8,0.600000
New-Orleans_LA,C-102,25,8,0.600000
New-Orleans_LA,C-105,25,8,0.600000
New-Orleans_LA,C-108,25,8,0.600000
New-Orleans_LA,C-111,25,8,0.600000
New-Orleans_LA,C-114,25,8,0.600000
New-Orleans_LA,C-117,25,8,0.600000
New-Orleans_LA,C-120,25,8,0.600000
New-Orleans_LA,C-123,25,8,0.600000
New-Orleans_LA,C-126,25,8,0.454545
New-Orleans_LA,C-129,25,8,0.333333
New-Orleans_LA,C-132,25,8,0.600000
New-Orleans_LA,C-135,25,8,0.600000
New-Orleans_LA,C-138,25,8,0.600000
New-Orleans_LA,C-141,25,8,0.600000
New-Orleans_LA,C-144,25,8,0.600000
New-Orleans_LA,C-147,25,8,0.600000
New-Orleans_LA,C-3,25,16,1.000000
New-Orleans_LA,C-6,25,16,0.882353
New-Orleans_LA,C-9,25,16,0.882353
New-Orleans_LA,C-12,25,16,0.882353
New-Orleans_LA,C-15,25,16,0.882353
New-Orleans_LA,C-18,25,16,0.882353
New-Orleans_LA,C-21,25,16,0.882353
New-Orleans_LA,C-24,25,16,0.882353
New-Orleans_LA,C-27,25,16,0.777778
New-Orleans_LA,C-30,25,16,0.523810
New-Orleans_LA,C-33,25,16,0.523810
New-Orleans_LA,C-36,25,16,0.523810
New-Orleans_LA,C-39,25,16,0.523810
New-Orleans_LA,C-42,25,16,0.523810
New-Orleans_LA,C-45,25,16,0.523810
New-Orleans_LA,C-48,25,16,0.523810
New-Orleans_LA,C-51,25,16,0.523810
New-Orleans_LA,C-54,25,16,0.523810
New-Orleans_LA,C-57,25,16,0.523810
New-Orleans_LA,C-60,25,16,0.523810
New-Orleans_LA,C-63,25,16,0.523810
New-Orleans_LA,C-66,25,16,0.523810
New-Orleans_LA,C-69,25,16,0.523810
New-Orleans_LA,C-72,25,16,0.523810
New-Orleans_LA,C-75,25,16,0.523810
New-Orleans_LA,C-78,25,16,0.523810
New-Orleans_LA,C-81,25,16,0.523810
New-Orleans_LA,C-84,25,16,0.523810
New-Orleans_LA,C-87,25,16,0.523810
New-Orleans_LA,C-90,25,16,0.523810
New-Orleans_LA,C-93,25,16,0.523810
New-Orleans_LA,C-96,25,16,0.523810
New-Orleans_LA,C-99,25,16,0.523810
New-Orleans_LA,C-102,25,16,0.454545
