city,version,w,lambda,jaccard
New-York-City_NY,C-3,25,8,1.000000
New-York-City_NY,C-6,25,8,1.000000
New-York-City_NY,C-9,25,8,1.000000
New-York-City_NY,C-12,25,8,1.000000
New-York-City_NY,C-15,25,8,1.000000
New-York-City_NY,C-18,25,8,1.000000
New-York-City_NY,C-21,25,8,1.000000
New-York-City_NY,C-24,25,8,1.000000
New-York-City_NY,C-27,25,8,1.000000
New-York-City_NY,C-30,25,8,1.000000
New-York-City_NY,C-33,25,8,1.000000
New-York-City_NY,C-36,25,8,1.000000
New-York-City_NY,C-39,25,8,1.000000
New-York-City_NY,C-42,25,8,1.000000
New-York-City_NY,C-45,25,8,1.000000
New-York-City_NY,C-48,25,8,1.000000
New-York-City_NY,C-51,25,8,1.000000
New-York-City_NY,C-54,25,8,1.000000
New-York-City_NY,C-57,25,8,1.000000
New-York-City_NY,C-60,25,8,1.000000
New-York-City_NY,C-63,25,8,1.000000
New-York-City_NY,C-66,25,8,1.000000
New-York-City_NY,C-69,25,8,1.000000
New-York-City_NY,C-72,25,8,1.000000
New-York-City_NY,C-75,25,8,1.000000
New-York-City_NY,C-78,25,8,1.000000
New-York-City_NY,C-81,25,8,1.000000
New-York-City_NY,C-84,25,8,1.000000
New-York-City_NY,C-87,25,8,1.000000
New-York-City_NY,C-90,25,8,1.000000
New-York-City_NY,C-93,25,8,1.000000
New-York-City_NY,C-96,25,8,1.000000
New-York-City_NY,C-99,25,8,1.000000
New-York-City_NY,C-102,25,8,1.000000
New-York-City_NY,C-105,25,8,1.000000
New-York-City_NY,C-108,25,8,1.000000
New-York-City_NY,C-111,25,8,1.000000
New-York-City_NY,C-114,25,8,1.000000
New-York-City_NY,C-117,25,8,1.000000
New-York-City_NY,C-120,25,8,1.000000
New-York-City_NY,C-123,25,8,1.000000
New-York-City_NY,C-126,25,8,1.000000
New-York-City_NY,C-129,25,8,1.000000
New-York-City_NY,C-132,25,8,1.000000
New-York-City_NY,C-135,25,8,1.000000
New-York-City_NY,C-138,25,8,1.000000
New-York-City_NY,C-141,25,8,1.000000
New-York-City_NY,C-144,25,8,1.000000
New-York-City_NY,C-147,25,8,1.000000
New-York-City_NY,C-3,25,16,1.000000
New-York-City_NY,C-6,25,16,1.000000
New-York-City_NY,C-9,25,16,1.000000
New-York-City_NY,C-12,25,16,1.000000
New-York-City_NY,C-15,25,16,1.000000
New-York-City_NY,C-18,25,16,1.000000
New-York-City_NY,C-21,25,16,1.000000
New-York-City_NY,C-24,25,16,1.000000
New-York-City_NY,C-27,25,16,1.000000
New-York-City_NY,C-30,25,16,1.000000
New-York-City_NY,C-33,25,16,1.000000
New-York-City_NY,C-36,25,16,1.000000
New-York-City_NY,C-39,25,16,1.000000
New-York-City_NY,C-42,25,16,1.000000
New-York-City_NY,C-45,25,16,1.000000
New-York-City_NY,C-48,25,16,0.882353
New-York-City_NY,C-51,25,16,0.882353
New-York-City_NY,C-54,25,16,0.882353
New-York-City_NY,C-57,25,16,0.882353
New-York-City_NY,C-60,25,16,0.882353
New-York-City_NY,C-63,25,16,0.882353
New-York-City_NY,C-66,25,16,0.882353
New-York-City_NY,C-69,25,16,0.882353
New-York-City_NY,C-72,25,16,0.882353
New-York-City_NY,C-75,25,16,0.882353
New-York-City_NY,C-78,25,16,0.882353
New-York-City_NY,C-81,25,16,0.882353
New-York-City_NY,C-84,25,16,0.882353
New-York-City_NY,C-87,25,16,0.882353
New-York-City_NY,C-90,25,16,0.882353
New-York-City_NY,C-93,25,16,0.882353
New-York-City_NY,C-96,25,16,0.882353
New-York-City_NY,C-99,25,16,0.882353
New-York-City_NY,C-102,25,16,0.882353
New-York-City_NY,C-105,25,16,0.882353
New-York-City_NY,C-108,25,16,0.882353
New-York-City_NY,C-111,25,16,0.882353
New-York-City_NY,C-114,25,16,0.882353
New-York-City_NY,C-117,25,16,0.882353
New-York-City_NY,C-120,25,16,0.882353
New-York-City_NY,C-123,25,16,0.882353
New-York-City_NY,C-126,25,16,0.882353
New-York-City_NY,C-129,25,16,0.882353
New-York-City_NY,C-132,25,16,0.882353
New-York-City_NY,C-135,25,16,0.882353
New-York-City_NY,C-138,25,16,0.882353
New-York-City_NY,C-141,25,16,0.882353
New-York-City_NY,C-144,25,16,0.882353
New-York-City_NY,C-147,25,16,0.882353
New-York-City_NY,C-3,25,32,1.000000
New-York-City_NY,C-6,25,32,1.000000
New-York-City_NY,C-9,25,32,1.000000
New-York-City_NY,C-12,25,32,0.939394
New-York-City_NY,C-15,25,32,0.939394
New-York-City_NY,C-18,25,32,0.939394
New-York-City_NY,C-21,25,32,0.882353
New-York-City_NY,C-24,25,32,0.882353
New-York-City_NY,C-27,25,32,0.882353
New-York-City_NY,C-30,25,32,0.882353
New-York-City_NY,C-33,25,32,0.882353
New-York-City_NY,C-36,25,32,0.882353
New-York-City_NY,C-39,25,32,0.882353
New-York-City_NY,C-42,25,32,0.882353
New-York-City_NY,C-45,25,32,0.882353
New-York-City_NY,C-48,25,32,0.828571
New-York-City_NY,C-51,25,32,0.828571
New-York-City_NY,C-54,25,32,0.828571
New-York-City_NY,C-57,25,32,0.828571
New-York-City_NY,C-60,25,32,0.828571
New-York-City_NY,C-63,25,32,0.828571
New-York-City_NY,C-66,25,32,0.828571
New-York-City_NY,C-69,25,32,0.828571
New-York-City_NY,C-72,25,32,0.828571
New-York-City_NY,C-75,25,32,0.777778
New-York-City_NY,C-78,25,32,0.777778
New-York-City_NY,C-81,25,32,0.777778
New-York-City_NY,C-84,25,32,0.777778
New-York-City_NY,C-87,25,32,0.777778
New-York-City_NY,C-90,25,32,0.777778
New-York-City_NY,C-93,25,32,0.777778
New-York-City_NY,C-96,25,32,0.777778
New-York-City_NY,C-99,25,32,0.777778
New-York-City_NY,C-102,25,32,0.777778
New-York-City_NY,C-105,25,32,0.777778
New-York-City_NY,C-108,25,32,0.729730
New-York-City_NY,C-111,25,32,0.729730
New-York-City_NY,C-114,25,32,0.729730
New-York-City_NY,C-117,25,32,0.729730
New-York-City_NY,C-120,25,32,0.729730
New-York-City_NY,C-123,25,32,0.729730
New-York-City_NY,C-126,25,32,0.729730
New-York-City_NY,C-129,25,32,0.729730
New-York-City_NY,C-132,25,32,0.729730
New-York-City_NY,C-135,25,32,0.729730
New-York-City_NY,C-138,25,32,0.729730
New-York-City_NY,C-141,25,32,0.729730
New-York-City_NY,C-144,25,32,0.729730
New-York-City_NY,C-147,25,32,0.729730
New-York-City_NY,C-3,25,64,1.000000
New-York-City_NY,C-6,25,64,1.000000
New-York-City_NY,C-9,25,64,1.000000
New-York-City_NY,C-12,25,64,0.969231
New-York-City_NY,C-15,25,64,0.969231
New-York-City_NY,C-18,25,64,0.969231
New-York-City_NY,C-21,25,64,0.939394
New-York-City_NY,C-24,25,64,0.939394
New-York-City_NY,C-27,25,64,0.939394
New-York-City_NY,C-30,25,64,0.939394
New-York-City_NY,C-33,25,64,0.939394
New-York-City_NY,C-36,25,64,0.939394
New-York-City_NY,C-39,25,64,0.939394
New-York-City_NY,C-42,25,64,0.939394
New-York-City_NY,C-45,25,64,0.939394
New-York-City_NY,C-48,25,64,0.882353
New-York-City_NY,C-51,25,64,0.882353
New-York-City_NY,C-54,25,64,0.882353
New-York-City_NY,C-57,25,64,0.855072
New-York-City_NY,C-60,25,64,0.855072
New-York-City_NY,C-63,25,64,0.855072
New-York-City_NY,C-66,25,64,0.828571
New-York-City_NY,C-69,25,64,0.828571
New-York-City_NY,C-72,25,64,0.802817
New-York-City_NY,C-75,25,64,0.684211
New-York-City_NY,C-78,25,64,0.684211
New-York-City_NY,C-81,25,64,0.684211
New-York-City_NY,C-84,25,64,0.684211
New-York-City_NY,C-87,25,64,0.684211
New-York-City_NY,C-90,25,64,0.684211
New-York-City_NY,C-93,25,64,0.684211
New-York-City_NY,C-96,25,64,0.684211
New-York-City_NY,C-99,25,64,0.684211
New-York-City_NY,C-102,25,64,0.684211
New-York-City_NY,C-105,25,64,0.684211
New-York-City_NY,C-108,25,64,0.641026
New-York-City_NY,C-111,25,64,0.641026
New-York-City_NY,C-114,25,64,0.641026
New-York-City_NY,C-117,25,64,0.641026
New-York-City_NY,C-120,25,64,0.641026
New-York-City_NY,C-123,25,64,0.641026
New-York-City_NY,C-126,25,64,0.641026
New-York-City_NY,C-129,25,64,0.641026
New-York-City_NY,C-132,25,64,0.641026
New-York-City_NY,C-135,25,64,0.641026
New-York-City_NY,C-138,25,64,0.620253
New-York-City_NY,C-141,25,64,0.620253
New-York-City_NY,C-144,25,64,0.620253
New-York-City_NY,C-147,25,64,0.620253
New-York-City_NY,C-3,25,inf,0.994358
New-York-City_NY,C-6,25,inf,0.994358
New-York-City_NY,C-9,25,inf,0.991229
New-York-City_NY,C-12,25,inf,0.988047
New-York-City_NY,C-15,25,inf,0.988047
New-York-City_NY,C-18,25,inf,0.981776
New-York-City_NY,C-21,25,inf,0.979884
New-York-City_NY,C-24,25,inf,0.979884
New-York-City_NY,C-27,25,inf,0.979884
New-York-City_NY,C-30,25,inf,0.951386
New-York-City_NY,C-33,25,inf,0.950044
New-York-City_NY,C-36,25,inf,0.943525
New-York-City_NY,C-39,25,inf,0.943525
New-York-City_NY,C-42,25,inf,0.943525
New-York-City_NY,C-45,25,inf,0.943219
New-York-City_NY,C-48,25,inf,0.933304
New-York-City_NY,C-51,25,inf,0.929674
New-York-City_NY,C-54,25,inf,0.919869
New-York-City_NY,C-57,25,inf,0.914316
New-York-City_NY,C-60,25,inf,0.911271
New-York-City_NY,C-63,25,inf,0.913865
New-York-City_NY,C-66,25,inf,0.892657
New-York-City_NY,C-69,25,inf,0.860486
New-York-City_NY,C-72,25,inf,0.814743
New-York-City_NY,C-75,25,inf,0.763799
New-York-City_NY,C-78,25,inf,0.762988
New-York-City_NY,C-81,25,inf,0.757773
New-York-City_NY,C-84,25,inf,0.758139
New-York-City_NY,C-87,25,inf,0.757444
New-York-City_NY,C-90,25,inf,0.752053
New-York-City_NY,C-93,25,inf,0.751166
New-York-City_NY,C-96,25,inf,0.757444
New-York-City_NY,C-99,25,inf,0.757444
New-York-City_NY,C-102,25,inf,0.757487
New-York-City_NY,C-105,25,inf,0.757487
New-York-City_NY,C-108,25,inf,0.749410
New-York-City_NY,C-111,25,inf,0.749410
New-York-City_NY,C-114,25,inf,0.746673
New-York-City_NY,C-117,25,inf,0.741834
New-York-City_NY,C-120,25,inf,0.739109
New-York-City_NY,C-123,25,inf,0.739150
New-York-City_NY,C-126,25,inf,0.739150
New-York-City_NY,C-129,25,inf,0.739150
New-York-City_NY,C-132,25,inf,0.739150
New-York-City_NY,C-135,25,inf,0.737112
New-York-City_NY,C-138,25,inf,0.731687
New-York-City_NY,C-141,25,inf,0.731524
New-York-City_NY,C-144,25,inf,0.731687
New-York-City_NY,C-147,25,inf,0.731687
New-York-City_NY,C-3,50,8,0.777778
New-York-City_NY,C-6,50,8,0.777778
New-York-City_NY,C-9,50,8,0.777778
New-York-City_NY,C-12,50,8,0.777778
New-York-City_NY,C-15,50,8,0.777778
New-York-City_NY,C-18,50,8,0.777778
New-York-City_NY,C-21,50,8,0.777778
New-York-City_NY,C-24,50,8,0.777778
New-York-City_NY,C-27,50,8,0.777778
New-York-City_NY,C-30,50,8,0.777778
New-York-City_NY,C-33,50,8,0.777778
New-York-City_NY,C-36,50,8,0.777778
New-York-City_NY,C-39,50,8,0.777778
New-York-City_NY,C-42,50,8,0.777778
New-York-City_NY,C-45,50,8,0.777778
New-York-City_NY,C-48,50,8,0.777778
New-York-City_NY,C-51,50,8,0.777778
New-York-City_NY,C-54,50,8,0.600000
New-York-City_NY,C-57,50,8,0.600000
New-York-City_NY,C-60,50,8,0.600000
New-York-City_NY,C-63,50,8,0.600000
New-York-City_NY,C-66,50,8,0.600000
New-York-City_NY,C-69,50,8,0.454545
New-York-City_NY,C-72,50,8,0.333333
New-York-City_NY,C-75,50,8,0.333333
New-York-City_NY,C-78,50,8,0.333333
New-York-City_NY,C-81,50,8,0.333333
New-York-City_NY,C-84,50,8,0.333333
New-York-City_NY,C-87,50,8,0.454545
New-York-City_NY,C-90,50,8,0.454545
New-York-City_NY,C-93,50,8,0.454545
New-York-City_NY,C-96,50,8,0.454545
New-York-City_NY,C-99,50,8,0.454545
New-York-City_NY,C-102,50,8,0.454545
New-York-City_NY,C-105,50,8,0.454545
New-York-City_NY,C-108,50,8,0.454545
New-York-City_NY,C-111,50,8,0.454545
New-York-City_NY,C-114,50,8,0.600000
New-York-City_NY,C-117,50,8,0.454545
New-York-City_NY,C-120,50,8,0.454545
New-York-City_NY,C-123,50,8,0.333333
New-York-City_NY,C-126,50,8,0.333333
New-York-City_NY,C-129,50,8,0.333333
New-York-City_NY,C-132,50,8,0.333333
New-York-City_NY,C-135,50,8,0.333333
New-York-City_NY,C-138,50,8,0.454545
New-York-City_NY,C-141,50,8,0.454545
New-York-City_NY,C-144,50,8,0.454545
New-York-City_NY,C-147,50,8,0.454545
New-York-City_NY,C-3,50,16,0.882353
New-York-City_NY,C-6,50,16,0.882353
New-York-City_NY,C-9,50,16,0.882353
New-York-City_NY,C-12,50,16,0.882353
New-York-City_NY,C-15,50,16,0.882353
New-York-City_NY,C-18,50,16,0.882353
New-York-City_NY,C-21,50,16,0.882353
New-York-City_NY,C-24,50,16,0.882353
New-York-City_NY,C-27,50,16,0.882353
New-York-City_NY,C-30,50,16,0.777778
New-York-City_NY,C-33,50,16,0.777778
New-York-City_NY,C-36,50,16,0.777778
New-York-City_NY,C-39,50,16,0.777778
New-York-City_NY,C-42,50,16,0.777778
New-York-City_NY,C-45,50,16,0.777778
New-York-City_NY,C-48,50,16,0.777778
New-York-City_NY,C-51,50,16,0.777778
New-York-City_NY,C-54,50,16,0.684211
New-York-City_NY,C-57,50,16,0.684211
New-York-City_NY,C-60,50,16,0.684211
New-York-City_NY,C-63,50,16,0.684211
New-York-City_NY,C-66,50,16,0.684211
New-York-City_NY,C-69,50,16,0.600000
New-York-City_NY,C-72,50,16,0.454545
New-York-City_NY,C-75,50,16,0.333333
New-York-City_NY,C-78,50,16,0.333333
New-York-City_NY,C-81,50,16,0.333333
New-York-City_NY,C-84,50,16,0.333333
New-York-City_NY,C-87,50,16,0.391304
New-York-City_NY,C-90,50,16,0.391304
New-York-City_NY,C-93,50,16,0.391304
New-York-City_NY,C-96,50,16,0.391304
New-York-City_NY,C-99,50,16,0.391304
New-York-City_NY,C-102,50,16,0.391304
New-York-City_NY,C-105,50,16,0.391304
New-York-City_NY,C-108,50,16,0.391304
New-York-City_NY,C-111,50,16,0.391304
