city,version,w,lambda,jaccard
Portland_OR,C-3,25,8,0.600000
Portland_OR,C-6,25,8,0.600000
Portland_OR,C-9,25,8,1.000000
Portland_OR,C-12,25,8,1.000000
Portland_OR,C-15,25,8,1.000000
Portland_OR,C-18,25,8,0.777778
Portland_OR,C-21,25,8,0.777778
Portland_OR,C-24,25,8,0.600000
Portland_OR,C-27,25,8,0.777778
Portland_OR,C-30,25,8,0.777778
Portland_OR,C-33,25,8,0.777778
Portland_OR,C-36,25,8,0.600000
Portland_OR,C-39,25,8,0.777778
Portland_OR,C-42,25,8,0.600000
Portland_OR,C-45,25,8,0.777778
Portland_OR,C-48,25,8,0.777778
Portland_OR,C-51,25,8,0.600000
Portland_OR,C-54,25,8,0.600000
Portland_OR,C-57,25,8,0.600000
Portland_OR,C-60,25,8,0.600000
Portland_OR,C-63,25,8,0.600000
Portland_OR,C-66,25,8,0.600000
Portland_OR,C-69,25,8,0.600000
Portland_OR,C-72,25,8,0.600000
Portland_OR,C-75,25,8,0.600000
Portland_OR,C-78,25,8,0.600000
Portland_OR,C-81,25,8,0.600000
Portland_OR,C-84,25,8,0.600000
Portland_OR,C-87,25,8,0.600000
Portland_OR,C-90,25,8,0.600000
Portland_OR,C-93,25,8,0.600000
Portland_OR,C-96,25,8,0.600000
Portland_OR,C-99,25,8,0.600000
Portland_OR,C-102,25,8,0.600000
Portland_OR,C-105,25,8,0.600000
Portland_OR,C-108,25,8,0.600000
Portland_OR,C-111,25,8,0.600000
Portland_OR,C-114,25,8,0.600000
Portland_OR,C-117,25,8,0.454545
Portland_OR,C-120,25,8,0.454545
Portland_OR,C-123,25,8,0.454545
Portland_OR,C-126,25,8,0.454545
Portland_OR,C-129,25,8,0.454545
Portland_OR,C-132,25,8,0.454545
Portland_OR,C-135,25,8,0.454545
Portland_OR,C-138,25,8,0.454545
Portland_OR,C-141,25,8,0.454545
Portland_OR,C-144,25,8,0.454545
Portland_OR,C-147,25,8,0.333333
Portland_OR,C-3,25,16,0.777778
Portland_OR,C-6,25,16,0.777778
Portland_OR,C-9,25,16,1.000000
Portland_OR,C-12,25,16,1.000000
Portland_OR,C-15,25,16,1.000000
Portland_OR,C-18,25,16,0.882353
Portland_OR,C-21,25,16,0.882353
Portland_OR,C-24,25,16,0.777778
Portland_OR,C-27,25,16,0.882353
Portland_OR,C-30,25,16,0.882353
Portland_OR,C-33,25,16,0.882353
Portland_OR,C-36,25,16,0.777778
Portland_OR,C-39,25,16,0.882353
Portland_OR,C-42,25,16,0.777778
Portland_OR,C-45,25,16,0.777778
Portland_OR,C-48,25,16,0.777778
Portland_OR,C-51,25,16,0.600000
Portland_OR,C-54,25,16,0.600000
Portland_OR,C-57,25,16,0.600000
Portland_OR,C-60,25,16,0.600000
Portland_OR,C-63,25,16,0.600000
Portland_OR,C-66,25,16,0.600000
Portland_OR,C-69,25,16,0.600000
Portland_OR,C-72,25,16,0.600000
Portland_OR,C-75,25,16,0.600000
Portland_OR,C-78,25,16,0.600000
Portland_OR,C-81,25,16,0.523810
Portland_OR,C-84,25,16,0.523810
Portland_OR,C-87,25,16,0.523810
Portland_OR,C-90,25,16,0.523810
Portland_OR,C-93,25,16,0.523810
Portland_OR,C-96,25,16,0.523810
Portland_OR,C-99,25,16,0.523810
Portland_OR,C-102,25,16,0.523810
Portland_OR,C-105,25,16,0.523810
Portland_OR,C-108,25,16,0.523810
Portland_OR,C-111,25,16,0.523810
Portland_OR,C-114,25,16,0.523810
Portland_OR,C-117,25,16,0.454545
Portland_OR,C-120,25,16,0.454545
Portland_OR,C-123,25,16,0.454545
Portland_OR,C-126,25,16,0.454545
Portland_OR,C-129,25,16,0.454545
Portland_OR,C-132,25,16,0.454545
Portland_OR,C-135,25,16,0.454545
Portland_OR,C-138,25,16,0.454545
Portland_OR,C-141,25,16,0.454545
Portland_OR,C-144,25,16,0.454545
Portland_OR,C-147,25,16,0.391304
Portland_OR,C-3,25,32,0.600000
Portland_OR,C-6,25,32,0.600000
Portland_OR,C-9,25,32,1.000000
Portland_OR,C-12,25,32,1.000000
Portland_OR,C-15,25,32,1.000000
Portland_OR,C-18,25,32,0.729730
Portland_OR,C-21,25,32,0.729730
Portland_OR,C-24,25,32,0.600000
Portland_OR,C-27,25,32,0.729730
Portland_OR,C-30,25,32,0.729730
Portland_OR,C-33,25,32,0.729730
Portland_OR,C-36,25,32,0.777778
Portland_OR,C-39,25,32,0.729730
Portland_OR,C-42,25,32,0.684211
Portland_OR,C-45,25,32,0.684211
Portland_OR,C-48,25,32,0.684211
Portland_OR,C-51,25,32,0.523810
Portland_OR,C-54,25,32,0.523810
Portland_OR,C-57,25,32,0.523810
Portland_OR,C-60,25,32,0.523810
Portland_OR,C-63,25,32,0.560976
Portland_OR,C-66,25,32,0.560976
Portland_OR,C-69,25,32,0.560976
Portland_OR,C-72,25,32,0.560976
Portland_OR,C-75,25,32,0.523810
Portland_OR,C-78,25,32,0.560976
Portland_OR,C-81,25,32,0.523810
Portland_OR,C-84,25,32,0.488372
Portland_OR,C-87,25,32,0.488372
Portland_OR,C-90,25,32,0.488372
Portland_OR,C-93,25,32,0.488372
Portland_OR,C-96,25,32,0.488372
