city,version,w,lambda,jaccard
Richmond_Virginia,C-3,25,8,1.000000
Richmond_Virginia,C-6,25,8,1.000000
Richmond_Virginia,C-9,25,8,1.000000
Richmond_Virginia,C-12,25,8,1.000000
Richmond_Virginia,C-15,25,8,1.000000
Richmond_Virginia,C-18,25,8,0.777778
Richmond_Virginia,C-21,25,8,1.000000
Richmond_Virginia,C-24,25,8,1.000000
Richmond_Virginia,C-27,25,8,0.600000
Richmond_Virginia,C-30,25,8,0.600000
Richmond_Virginia,C-33,25,8,0.600000
Richmond_Virginia,C-36,25,8,0.600000
Richmond_Virginia,C-39,25,8,0.600000
Richmond_Virginia,C-42,25,8,0.600000
Richmond_Virginia,C-45,25,8,0.600000
Richmond_Virginia,C-48,25,8,0.600000
Richmond_Virginia,C-51,25,8,0.600000
Richmond_Virginia,C-54,25,8,0.600000
Richmond_Virginia,C-57,25,8,0.600000
Richmond_Virginia,C-60,25,8,0.600000
Richmond_Virginia,C-63,25,8,0.600000
Richmond_Virginia,C-66,25,8,0.600000
Richmond_Virginia,C-69,25,8,0.600000
Richmond_Virginia,C-72,25,8,0.600000
Richmond_Virginia,C-75,25,8,0.600000
Richmond_Virginia,C-78,25,8,0.600000
Richmond_Virginia,C-81,25,8,0.600000
Richmond_Virginia,C-84,25,8,0.600000
Richmond_Virginia,C-87,25,8,0.600000
Richmond_Virginia,C-90,25,8,0.600000
Richmond_Virginia,C-93,25,8,0.600000
Richmond_Virginia,C-96,25,8,0.600000
Richmond_Virginia,C-99,25,8,0.600000
Richmond_Virginia,C-102,25,8,0.454545
Richmond_Virginia,C-105,25,8,0.454545
Richmond_Virginia,C-108,25,8,0.454545
Richmond_Virginia,C-111,25,8,0.454545
Richmond_Virginia,C-114,25,8,0.454545
Richmond_Virginia,C-117,25,8,0.454545
Richmond_Virginia,C-120,25,8,0.454545
Richmond_Virginia,C-123,25,8,0.454545
Richmond_Virginia,C-126,25,8,0.454545
Richmond_Virginia,C-129,25,8,0.454545
Richmond_Virginia,C-132,25,8,0.454545
Richmond_Virginia,C-135,25,8,0.454545
Richmond_Virginia,C-138,25,8,0.454545
Richmond_Virginia,C-141,25,8,0.454545
Richmond_Virginia,C-144,25,8,0.454545
Richmond_Virginia,C-147,25,8,0.454545
Richmond_Virginia,C-3,25,16,1.000000
Richmond_Virginia,C-6,25,16,1.000000
Richmond_Virginia,C-9,25,16,1.000000
Richmond_Virginia,C-12,25,16,0.882353
Richmond_Virginia,C-15,25,16,0.882353
Richmond_Virginia,C-18,25,16,0.882353
Richmond_Virginia,C-21,25,16,1.000000
Richmond_Virginia,C-24,25,16,1.000000
Richmond_Virginia,C-27,25,16,0.600000
Richmond_Virginia,C-30,25,16,0.600000
Richmond_Virginia,C-33,25,16,0.600000
Richmond_Virginia,C-36,25,16,0.600000
Richmond_Virginia,C-39,25,16,0.600000
Richmond_Virginia,C-42,25,16,0.600000
Richmond_Virginia,C-45,25,16,0.600000
Richmond_Virginia,C-48,25,16,0.600000
Richmond_Virginia,C-51,25,16,0.600000
Richmond_Virginia,C-54,25,16,0.600000
Richmond_Virginia,C-57,25,16,0.600000
Richmond_Virginia,C-60,25,16,0.600000
Richmond_Virginia,C-63,25,16,0.600000
Richmond_Virginia,C-66,25,16,0.600000
Richmond_Virginia,C-69,25,16,0.600000
Richmond_Virginia,C-72,25,16,0.600000
Richmond_Virginia,C-75,25,16,0.600000
Richmond_Virginia,C-78,25,16,0.600000
Richmond_Virginia,C-81,25,16,0.600000
Richmond_Virginia,C-84,25,16,0.600000
Richmond_Virginia,C-87,25,16,0.600000
Richmond_Virginia,C-90,25,16,0.600000
Richmond_Virginia,C-93,25,16,0.600000
Richmond_Virginia,C-96,25,16,0.600000
Richmond_Virginia,C-99,25,16,0.600000
Richmond_Virginia,C-102,25,16,0.454545
Richmond_Virginia,C-105,25,16,0.454545
Richmond_Virginia,C-108,25,16,0.454545
Richmond_Virginia,C-111,25,16,0.454545
Richmond_Virginia,C-114,25,16,0.454545
Richmond_Virginia,C-117,25,16,0.454545
Richmond_Virginia,C-120,25,16,0.333333
Richmond_Virginia,C-123,25,16,0.333333
Richmond_Virginia,C-126,25,16,0.333333
Richmond_Virginia,C-129,25,16,0.333333
Richmond_Virginia,C-132,25,16,0.454545
Richmond_Virginia,C-135,25,16,0.454545
Richmond_Virginia,C-138,25,16,0.454545
Richmond_Virginia,C-141,25,16,0.454545
Richmond_Virginia,C-144,25,16,0.454545
Richmond_Virginia,C-147,25,16,0.454545
Richmond_Virginia,C-3,25,32,1.000000
Richmond_Virginia,C-6,25,32,1.000000
Richmond_Virginia,C-9,25,32,1.000000
Richmond_Virginia,C-12,25,32,0.882353
Richmond_Virginia,C-15,25,32,0.882353
Richmond_Virginia,C-18,25,32,0.794118
Richmond_Virginia,C-21,25,32,1.000000
Richmond_Virginia,C-24,25,32,1.000000
Richmond_Virginia,C-27,25,32,0.512195
Richmond_Virginia,C-30,25,32,0.512195
Richmond_Virginia,C-33,25,32,0.512195
Richmond_Virginia,C-36,25,32,0.476190
Richmond_Virginia,C-39,25,32,0.465116
Richmond_Virginia,C-42,25,32,0.476190
Richmond_Virginia,C-45,25,32,0.476190
Richmond_Virginia,C-48,25,32,0.476190
Richmond_Virginia,C-51,25,32,0.476190
Richmond_Virginia,C-54,25,32,0.476190
Richmond_Virginia,C-57,25,32,0.476190
Richmond_Virginia,C-60,25,32,0.476190
Richmond_Virginia,C-63,25,32,0.476190
Richmond_Virginia,C-66,25,32,0.476190
Richmond_Virginia,C-69,25,32,0.476190
Richmond_Virginia,C-72,25,32,0.476190
Richmond_Virginia,C-75,25,32,0.476190
Richmond_Virginia,C-78,25,32,0.476190
Richmond_Virginia,C-81,25,32,0.476190
Richmond_Virginia,C-84,25,32,0.476190
Richmond_Virginia,C-87,25,32,0.476190
Richmond_Virginia,C-90,25,32,0.465116
Richmond_Virginia,C-93,25,32,0.465116
Richmond_Virginia,C-96,25,32,0.465116
Richmond_Virginia,C-99,25,32,0.465116
Richmond_Virginia,C-102,25,32,0.465116
Richmond_Virginia,C-105,25,32,0.465116
Richmond_Virginia,C-108,25,32,0.523810
Richmond_Virginia,C-111,25,32,0.523810
Richmond_Virginia,C-114,25,32,0.523810
Richmond_Virginia,C-117,25,32,0.488372
Richmond_Virginia,C-120,25,32,0.422222
Richmond_Virginia,C-123,25,32,0.422222
Richmond_Virginia,C-126,25,32,0.422222
Richmond_Virginia,C-129,25,32,0.422222
Richmond_Virginia,C-132,25,32,0.441860
Richmond_Virginia,C-135,25,32,0.441860
Richmond_Virginia,C-138,25,32,0.441860
Richmond_Virginia,C-141,25,32,0.441860
Richmond_Virginia,C-144,25,32,0.441860
Richmond_Virginia,C-147,25,32,0.441860
Richmond_Virginia,C-3,25,64,1.000000
Richmond_Virginia,C-6,25,64,1.000000
Richmond_Virginia,C-9,25,64,0.967742
Richmond_Virginia,C-12,25,64,0.820896
Richmond_Virginia,C-15,25,64,0.820896
Richmond_Virginia,C-18,25,64,0.742857
Richmond_Virginia,C-21,25,64,0.936508
Richmond_Virginia,C-24,25,64,0.936508
Richmond_Virginia,C-27,25,64,0.469880
Richmond_Virginia,C-30,25,64,0.469880
Richmond_Virginia,C-33,25,64,0.469880
Richmond_Virginia,C-36,25,64,0.452381
Richmond_Virginia,C-39,25,64,0.452381
Richmond_Virginia,C-42,25,64,0.452381
Richmond_Virginia,C-45,25,64,0.452381
Richmond_Virginia,C-48,25,64,0.452381
Richmond_Virginia,C-51,25,64,0.452381
Richmond_Virginia,C-54,25,64,0.452381
Richmond_Virginia,C-57,25,64,0.452381
Richmond_Virginia,C-60,25,64,0.452381
Richmond_Virginia,C-63,25,64,0.452381
Richmond_Virginia,C-66,25,64,0.452381
Richmond_Virginia,C-69,25,64,0.452381
Richmond_Virginia,C-72,25,64,0.452381
Richmond_Virginia,C-75,25,64,0.452381
Richmond_Virginia,C-78,25,64,0.452381
Richmond_Virginia,C-81,25,64,0.452381
Richmond_Virginia,C-84,25,64,0.452381
Richmond_Virginia,C-87,25,64,0.452381
Richmond_Virginia,C-90,25,64,0.452381
Richmond_Virginia,C-93,25,64,0.452381
Richmond_Virginia,C-96,25,64,0.452381
Richmond_Virginia,C-99,25,64,0.452381
Richmond_Virginia,C-102,25,64,0.402299
Richmond_Virginia,C-105,25,64,0.402299
Richmond_Virginia,C-108,25,64,0.452381
Richmond_Virginia,C-111,25,64,0.452381
Richmond_Virginia,C-114,25,64,0.452381
Richmond_Virginia,C-117,25,64,0.452381
Richmond_Virginia,C-120,25,64,0.402299
Richmond_Virginia,C-123,25,64,0.402299
Richmond_Virginia,C-126,25,64,0.402299
Richmond_Virginia,C-129,25,64,0.386364
Richmond_Virginia,C-132,25,64,0.418605
Richmond_Virginia,C-135,25,64,0.418605
Richmond_Virginia,C-138,25,64,0.418605
Richmond_Virginia,C-141,25,64,0.418605
Richmond_Virginia,C-144,25,64,0.418605
Richmond_Virginia,C-147,25,64,0.418605
Richmond_Virginia,C-3,25,inf,1.000000
Richmond_Virginia,C-6,25,inf,0.996837
Richmond_Virginia,C-9,25,inf,0.983181
Richmond_Virginia,C-12,25,inf,0.920360
Richmond_Virginia,C-15,25,inf,0.903430
Richmond_Virginia,C-18,25,inf,0.826548
Richmond_Virginia,C-21,25,inf,0.937353
Richmond_Virginia,C-24,25,inf,0.937353
Richmond_Virginia,C-27,25,inf,0.598810
Richmond_Virginia,C-30,25,inf,0.598750
Richmond_Virginia,C-33,25,inf,0.600149
Richmond_Virginia,C-36,25,inf,0.560970
Richmond_Virginia,C-39,25,inf,0.558955
Richmond_Virginia,C-42,25,inf,0.556243
Richmond_Virginia,C-45,25,inf,0.556093
Richmond_Virginia,C-48,25,inf,0.556093
Richmond_Virginia,C-51,25,inf,0.556093
Richmond_Virginia,C-54,25,inf,0.556093
Richmond_Virginia,C-57,25,inf,0.556119
Richmond_Virginia,C-60,25,inf,0.556119
Richmond_Virginia,C-63,25,inf,0.556173
Richmond_Virginia,C-66,25,inf,0.556173
Richmond_Virginia,C-69,25,inf,0.555679
Richmond_Virginia,C-72,25,inf,0.550253
Richmond_Virginia,C-75,25,inf,0.550253
Richmond_Virginia,C-78,25,inf,0.549432
Richmond_Virginia,C-81,25,inf,0.549406
Richmond_Virginia,C-84,25,inf,0.549538
