city,version,w,lambda,jaccard
Salt_Lake_City_UT,C-3,25,8,1.000000
Salt_Lake_City_UT,C-6,25,8,1.000000
Salt_Lake_City_UT,C-9,25,8,1.000000
Salt_Lake_City_UT,C-12,25,8,1.000000
Salt_Lake_City_UT,C-15,25,8,1.000000
Salt_Lake_City_UT,C-18,25,8,1.000000
Salt_Lake_City_UT,C-21,25,8,1.000000
Salt_Lake_City_UT,C-24,25,8,1.000000
Salt_Lake_City_UT,C-27,25,8,1.000000
Salt_Lake_City_UT,C-30,25,8,1.000000
Salt_Lake_City_UT,C-33,25,8,1.000000
Salt_Lake_City_UT,C-36,25,8,1.000000
Salt_Lake_City_UT,C-39,25,8,1.000000
Salt_Lake_City_UT,C-42,25,8,1.000000
Salt_Lake_City_UT,C-45,25,8,1.000000
Salt_Lake_City_UT,C-48,25,8,1.000000
Salt_Lake_City_UT,C-51,25,8,1.000000
Salt_Lake_City_UT,C-54,25,8,1.000000
Salt_Lake_City_UT,C-57,25,8,1.000000
Salt_Lake_City_UT,C-60,25,8,1.000000
Salt_Lake_City_UT,C-63,25,8,1.000000
Salt_Lake_City_UT,C-66,25,8,1.000000
Salt_Lake_City_UT,C-69,25,8,1.000000
Salt_Lake_City_UT,C-72,25,8,1.000000
Salt_Lake_City_UT,C-75,25,8,1.000000
Salt_Lake_City_UT,C-78,25,8,1.000000
Salt_Lake_City_UT,C-81,25,8,1.000000
Salt_Lake_City_UT,C-84,25,8,1.000000
Salt_Lake_City_UT,C-87,25,8,1.000000
Salt_Lake_City_UT,C-90,25,8,1.000000
Salt_Lake_City_UT,C-93,25,8,1.000000
Salt_Lake_City_UT,C-96,25,8,1.000000
Salt_Lake_City_UT,C-99,25,8,1.000000
Salt_Lake_City_UT,C-102,25,8,1.000000
Salt_Lake_City_UT,C-105,25,8,1.000000
Salt_Lake_City_UT,C-108,25,8,1.000000
Salt_Lake_City_UT,C-111,25,8,1.000000
Salt_Lake_City_UT,C-114,25,8,1.000000
Salt_Lake_City_UT,C-117,25,8,1.000000
Salt_Lake_City_UT,C-120,25,8,1.000000
Salt_Lake_City_UT,C-123,25,8,1.000000
Salt_Lake_City_UT,C-126,25,8,1.000000
Salt_Lake_City_UT,C-129,25,8,1.000000
Salt_Lake_City_UT,C-132,25,8,1.000000
Salt_Lake_City_UT,C-135,25,8,1.000000
Salt_Lake_City_UT,C-138,25,8,1.000000
Salt_Lake_City_UT,C-141,25,8,1.000000
Salt_Lake_City_UT,C-144,25,8,1.000000
Salt_Lake_City_UT,C-147,25,8,1.000000
Salt_Lake_City_UT,C-3,25,16,1.000000
Salt_Lake_City_UT,C-6,25,16,1.000000
Salt_Lake_City_UT,C-9,25,16,1.000000
Salt_Lake_City_UT,C-12,25,16,1.000000
Salt_Lake_City_UT,C-15,25,16,1.000000
Salt_Lake_City_UT,C-18,25,16,1.000000
Salt_Lake_City_UT,C-21,25,16,1.000000
Salt_Lake_City_UT,C-24,25,16,1.000000
Salt_Lake_City_UT,C-27,25,16,1.000000
Salt_Lake_City_UT,C-30,25,16,1.000000
Salt_Lake_City_UT,C-33,25,16,1.000000
Salt_Lake_City_UT,C-36,25,16,1.000000
Salt_Lake_City_UT,C-39,25,16,1.000000
Salt_Lake_City_UT,C-42,25,16,1.000000
Salt_Lake_City_UT,C-45,25,16,1.000000
Salt_Lake_City_UT,C-48,25,16,1.000000
Salt_Lake_City_UT,C-51,25,16,1.000000
Salt_Lake_City_UT,C-54,25,16,1.000000
Salt_Lake_City_UT,C-57,25,16,1.000000
Salt_Lake_City_UT,C-60,25,16,1.000000
Salt_Lake_City_UT,C-63,25,16,1.000000
Salt_Lake_City_UT,C-66,25,16,1.000000
Salt_Lake_City_UT,C-69,25,16,1.000000
Salt_Lake_City_UT,C-72,25,16,1.000000
Salt_Lake_City_UT,C-75,25,16,1.000000
Salt_Lake_City_UT,C-78,25,16,1.000000
Salt_Lake_City_UT,C-81,25,16,1.000000
Salt_Lake_City_UT,C-84,25,16,1.000000
Salt_Lake_City_UT,C-87,25,16,1.000000
Salt_Lake_City_UT,C-90,25,16,1.000000
Salt_Lake_City_UT,C-93,25,16,1.000000
Salt_Lake_City_UT,C-96,25,16,1.000000
Salt_Lake_City_UT,C-99,25,16,1.000000
Salt_Lake_City_UT,C-102,25,16,1.000000
Salt_Lake_City_UT,C-105,25,16,1.000000
Salt_Lake_City_UT,C-108,25,16,1.000000
Salt_Lake_City_UT,C-111,25,16,1.000000
Salt_Lake_City_UT,C-114,25,16,1.000000
Salt_Lake_City_UT,C-117,25,16,1.000000
Salt_Lake_City_UT,C-120,25,16,1.000000
Salt_Lake_City_UT,C-123,25,16,1.000000
Salt_Lake_City_UT,C-126,25,16,1.000000
Salt_Lake_City_UT,C-129,25,16,1.000000
Salt_Lake_City_UT,C-132,25,16,1.000000
Salt_Lake_City_UT,C-135,25,16,1.000000
Salt_Lake_City_UT,C-138,25,16,1.000000
Salt_Lake_City_UT,C-141,25,16,1.000000
Salt_Lake_City_UT,C-144,25,16,1.000000
Salt_Lake_City_UT,C-147,25,16,1.000000
Salt_Lake_City_UT,C-3,25,32,1.000000
Salt_Lake_City_UT,C-6,25,32,1.000000
Salt_Lake_City_UT,C-9,25,32,1.000000
Salt_Lake_City_UT,C-12,25,32,1.000000
Salt_Lake_City_UT,C-15,25,32,1.000000
Salt_Lake_City_UT,C-18,25,32,1.000000
Salt_Lake_City_UT,C-21,25,32,1.000000
Salt_Lake_City_UT,C-24,25,32,1.000000
Salt_Lake_City_UT,C-27,25,32,1.000000
Salt_Lake_City_UT,C-30,25,32,1.000000
Salt_Lake_City_UT,C-33,25,32,1.000000
Salt_Lake_City_UT,C-36,25,32,1.000000
Salt_Lake_City_UT,C-39,25,32,1.000000
Salt_Lake_City_UT,C-42,25,32,1.000000
Salt_Lake_City_UT,C-45,25,32,1.000000
Salt_Lake_City_UT,C-48,25,32,1.000000
Salt_Lake_City_UT,C-51,25,32,1.000000
Salt_Lake_City_UT,C-54,25,32,1.000000
Salt_Lake_City_UT,C-57,25,32,1.000000
Salt_Lake_City_UT,C-60,25,32,1.000000
Salt_Lake_City_UT,C-63,25,32,1.000000
Salt_Lake_City_UT,C-66,25,32,1.000000
Salt_Lake_City_UT,C-69,25,32,1.000000
Salt_Lake_City_UT,C-72,25,32,1.000000
Salt_Lake_City_UT,C-75,25,32,1.000000
Salt_Lake_City_UT,C-78,25,32,1.000000
