city,version,w,lambda,jaccard
Upton_NY,C-3,25,8,0.600000
Upton_NY,C-6,25,8,0.230769
Upton_NY,C-9,25,8,0.230769
Upton_NY,C-12,25,8,0.230769
Upton_NY,C-15,25,8,0.230769
Upton_NY,C-18,25,8,0.230769
Upton_NY,C-21,25,8,0.230769
Upton_NY,C-24,25,8,0.333333
Upton_NY,C-27,25,8,0.333333
Upton_NY,C-30,25,8,0.333333
Upton_NY,C-33,25,8,0.333333
Upton_NY,C-36,25,8,0.333333
Upton_NY,C-39,25,8,0.333333
Upton_NY,C-42,25,8,0.333333
Upton_NY,C-45,25,8,0.333333
Upton_NY,C-48,25,8,0.333333
Upton_NY,C-51,25,8,0.142857
Upton_NY,C-54,25,8,0.142857
Upton_NY,C-57,25,8,0.142857
Upton_NY,C-60,25,8,0.142857
Upton_NY,C-63,25,8,0.142857
Upton_NY,C-66,25,8,0.000000
Upton_NY,C-69,25,8,0.000000
Upton_NY,C-3,25,16,0.777778
Upton_NY,C-6,25,16,0.142857
Upton_NY,C-9,25,16,0.142857
Upton_NY,C-12,25,16,0.142857
Upton_NY,C-15,25,16,0.142857
Upton_NY,C-18,25,16,0.142857
Upton_NY,C-21,25,16,0.185185
Upton_NY,C-24,25,16,0.280000
Upton_NY,C-27,25,16,0.391304
Upton_NY,C-30,25,16,0.391304
Upton_NY,C-33,25,16,0.391304
Upton_NY,C-36,25,16,0.333333
Upton_NY,C-39,25,16,0.230769
Upton_NY,C-42,25,16,0.230769
Upton_NY,C-45,25,16,0.185185
Upton_NY,C-48,25,16,0.185185
Upton_NY,C-51,25,16,0.066667
Upton_NY,C-54,25,16,0.066667
Upton_NY,C-57,25,16,0.066667
Upton_NY,C-60,25,16,0.066667
Upton_NY,C-63,25,16,0.066667
Upton_NY,C-66,25,16,0.000000
Upton_NY,C-69,25,16,0.000000
Upton_NY,C-3,25,32,0.777778
Upton_NY,C-6,25,32,0.254902
Upton_NY,C-9,25,32,0.207547
Upton_NY,C-12,25,32,0.230769
Upton_NY,C-15,25,32,0.254902
Upton_NY,C-18,25,32,0.280000
Upton_NY,C-21,25,32,0.230769
Upton_NY,C-24,25,32,0.230769
Upton_NY,C-27,25,32,0.230769
Upton_NY,C-30,25,32,0.230769
Upton_NY,C-33,25,32,0.230769
Upton_NY,C-36,25,32,0.230769
Upton_NY,C-39,25,32,0.163636
Upton_NY,C-42,25,32,0.163636
Upton_NY,C-45,25,32,0.142857
Upton_NY,C-48,25,32,0.142857
Upton_NY,C-51,25,32,0.084746
Upton_NY,C-54,25,32,0.084746
Upton_NY,C-57,25,32,0.084746
Upton_NY,C-60,25,32,0.084746
Upton_NY,C-63,25,32,0.084746
Upton_NY,C-66,25,32,0.000000
Upton_NY,C-69,25,32,0.000000
Upton_NY,C-3,25,64,0.706667
Upton_NY,C-6,25,64,0.254902
Upton_NY,C-9,25,64,0.207547
Upton_NY,C-12,25,64,0.196262
Upton_NY,C-15,25,64,0.196262
Upton_NY,C-18,25,64,0.230769
Upton_NY,C-21,25,64,0.230769
Upton_NY,C-24,25,64,0.230769
Upton_NY,C-27,25,64,0.230769
Upton_NY,C-30,25,64,0.230769
Upton_NY,C-33,25,64,0.230769
Upton_NY,C-36,25,64,0.230769
Upton_NY,C-39,25,64,0.153153
Upton_NY,C-42,25,64,0.153153
Upton_NY,C-45,25,64,0.142857
Upton_NY,C-48,25,64,0.142857
Upton_NY,C-51,25,64,0.075630
Upton_NY,C-54,25,64,0.075630
Upton_NY,C-57,25,64,0.075630
Upton_NY,C-60,25,64,0.075630
Upton_NY,C-63,25,64,0.075630
Upton_NY,C-66,25,64,0.000000
Upton_NY,C-69,25,64,0.000000
Upton_NY,C-3,25,inf,0.800360
Upton_NY,C-6,25,inf,0.344961
Upton_NY,C-9,25,inf,0.283208
Upton_NY,C-12,25,inf,0.266917
Upton_NY,C-15,25,inf,0.263941
Upton_NY,C-18,25,inf,0.268262
Upton_NY,C-21,25,inf,0.254777
Upton_NY,C-24,25,inf,0.260417
Upton_NY,C-27,25,inf,0.265604
Upton_NY,C-30,25,inf,0.276625
Upton_NY,C-33,25,inf,0.290276
Upton_NY,C-36,25,inf,0.289855
Upton_NY,C-39,25,inf,0.189681
Upton_NY,C-42,25,inf,0.191424
Upton_NY,C-45,25,inf,0.188450
Upton_NY,C-48,25,inf,0.183976
Upton_NY,C-51,25,inf,0.131542
Upton_NY,C-54,25,inf,0.141985
Upton_NY,C-57,25,inf,0.144410
Upton_NY,C-60,25,inf,0.148800
Upton_NY,C-63,25,inf,0.150485
Upton_NY,C-66,25,inf,0.015707
Upton_NY,C-69,25,inf,0.015707
Upton_NY,C-3,50,8,0.454545
Upton_NY,C-6,50,8,0.230769
Upton_NY,C-9,50,8,0.230769
Upton_NY,C-12,50,8,0.230769
Upton_NY,C-15,50,8,0.230769
Upton_NY,C-18,50,8,0.230769
Upton_NY,C-21,50,8,0.230769
Upton_NY,C-24,50,8,0.230769
Upton_NY,C-27,50,8,0.230769
Upton_NY,C-30,50,8,0.230769
Upton_NY,C-33,50,8,0.230769
Upton_NY,C-36,50,8,0.230769
