city,version,w,lambda,jaccard
Virginia Beach_VA,C-3,25,8,0.777778
Virginia Beach_VA,C-6,25,8,0.777778
Virginia Beach_VA,C-9,25,8,0.777778
Virginia Beach_VA,C-12,25,8,0.777778
Virginia Beach_VA,C-15,25,8,0.777778
Virginia Beach_VA,C-18,25,8,0.777778
Virginia Beach_VA,C-21,25,8,0.777778
Virginia Beach_VA,C-24,25,8,0.777778
Virginia Beach_VA,C-27,25,8,0.777778
Virginia Beach_VA,C-30,25,8,0.777778
Virginia Beach_VA,C-33,25,8,0.777778
Virginia Beach_VA,C-36,25,8,0.777778
Virginia Beach_VA,C-39,25,8,0.777778
Virginia Beach_VA,C-42,25,8,0.500000
Virginia Beach_VA,C-45,25,8,0.600000
Virginia Beach_VA,C-48,25,8,0.777778
Virginia Beach_VA,C-51,25,8,0.777778
Virginia Beach_VA,C-54,25,8,0.600000
Virginia Beach_VA,C-57,25,8,0.600000
Virginia Beach_VA,C-60,25,8,0.600000
Virginia Beach_VA,C-63,25,8,0.454545
Virginia Beach_VA,C-66,25,8,0.333333
Virginia Beach_VA,C-69,25,8,0.333333
Virginia Beach_VA,C-72,25,8,0.333333
Virginia Beach_VA,C-75,25,8,0.333333
Virginia Beach_VA,C-78,25,8,0.333333
Virginia Beach_VA,C-81,25,8,0.333333
Virginia Beach_VA,C-84,25,8,0.230769
Virginia Beach_VA,C-87,25,8,0.230769
Virginia Beach_VA,C-90,25,8,0.230769
Virginia Beach_VA,C-93,25,8,0.230769
Virginia Beach_VA,C-96,25,8,0.230769
Virginia Beach_VA,C-99,25,8,0.230769
Virginia Beach_VA,C-102,25,8,0.230769
Virginia Beach_VA,C-105,25,8,0.230769
Virginia Beach_VA,C-108,25,8,0.230769
Virginia Beach_VA,C-111,25,8,0.230769
Virginia Beach_VA,C-114,25,8,0.230769
Virginia Beach_VA,C-117,25,8,0.142857
Virginia Beach_VA,C-120,25,8,0.230769
Virginia Beach_VA,C-123,25,8,0.333333
Virginia Beach_VA,C-126,25,8,0.333333
Virginia Beach_VA,C-129,25,8,0.333333
Virginia Beach_VA,C-132,25,8,0.230769
Virginia Beach_VA,C-135,25,8,0.230769
Virginia Beach_VA,C-138,25,8,0.230769
Virginia Beach_VA,C-141,25,8,0.230769
Virginia Beach_VA,C-144,25,8,0.230769
Virginia Beach_VA,C-147,25,8,0.230769
